"id"	"name"	"host_id"	"host_name"	"host_since"	"latitude"	"longitude"	"is_location_exact"	"property_type"	"room_type"	"accommodates"	"bathrooms"	"bedrooms"	"beds"	"bed_type"	"price"	"availability_365"	"number_of_reviews"	"license"
2389434	"Habitación rústica y acogedora"	11512737	"Izadi"	"2014-01-21"	43.2782435045362	-1.95685388266848	"t"	"House"	"Private room"	2	2	1	2	"Real Bed"	"$50.00"	179	82	"LSS00047"
7476508	"✨DOUBLE ROOM WITH BATHROOM (Z)  L SS 00038"	39152861	"Jon Area"	"2015-07-21"	43.3211443353116	-1.97694575807942	"t"	"Apartment"	"Private room"	2	1	1	2	"Real Bed"	"$50.00"	275	84	"L SS 00038"
5528159	"ULIA-B, MODERNO, GARAJE, WIFI"	12954077	"Aritz"	"2014-03-09"	43.323171667007	-1.95979127973229	"t"	"Apartment"	"Entire home/apt"	8	3	4	8	"Real Bed"	"$120.00"	300	50	""
9804286	"Habitación con vistas al mar"	49871447	"Ibon"	"2015-11-25"	43.3033563229535	-2.06773363026447	"f"	"House"	"Private room"	2	2	1	3	"Real Bed"	"$48.00"	2	15	""
16685481	"BEATIFUL VIEW OF THE CITY"	81048519	"Juan Jose"	"2016-07-01"	43.3146905317806	-1.95924555716073	"t"	"Apartment"	"Entire home/apt"	3	2	2	2	"Real Bed"	"$60.00"	189	0	""
17790556	"Lovely Light Double Room Near Beach"	40355932	"Alexander"	"2015-08-03"	43.3227995014442	-1.97471880640369	"t"	"Apartment"	"Private room"	2	1	1	2	"Real Bed"	"$59.00"	7	0	""
6650107	"Accommodation in spacious flat 80m2"	34806472	"Aitzol"	"2015-06-02"	43.2875340032427	-2.00097936763613	"t"	"Condominium"	"Private room"	2	1	1	1	"Real Bed"	"$55.00"	0	4	""
12538218	"July and August flat in Amara"	67867097	"Virginia"	"2016-04-19"	43.3038041525942	-1.97389718340786	"f"	"Apartment"	"Entire home/apt"	6	1	3	3	"Real Bed"	"$100.00"	246	5	""
12005871	"Yoga house stay | Donosti Chill retreat house -2"	149691	"Alex"	"2010-06-22"	43.3223103578965	-1.97901836608051	"t"	"Apartment"	"Private room"	2	2.5	1	3	"Real Bed"	"$75.00"	346	16	""
6689946	"A1 PRIVATE CHAMBRE/ROOM 5 MIN FROM THE BEACH"	12747666	"Nuri Emil"	"2014-03-03"	43.3227320008346	-1.96933092130019	"t"	"Apartment"	"Private room"	2	1	1	1	"Real Bed"	"$35.00"	120	50	""
