"id","listing_url","scrape_id","last_scraped","name","experiences_offered","thumbnail_url","medium_url","picture_url","xl_picture_url","host_id","host_url","host_name","host_since","host_location","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","street","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","country_code","country","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","calendar_updated","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","license","jurisdiction_names","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","withlicense","precio"
10969895,"https://www.airbnb.com/rooms/10969895",20170323205238,"2017-03-24","Habitación con llave tranquila,exterio, WIFi-METRO","none","https://a0.muscache.com/im/pictures/765ea4e4-55e2-4897-8c96-77aa1b1f5907.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/765ea4e4-55e2-4897-8c96-77aa1b1f5907.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/765ea4e4-55e2-4897-8c96-77aa1b1f5907.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/765ea4e4-55e2-4897-8c96-77aa1b1f5907.jpg?aki_policy=x_large",56909056,"https://www.airbnb.com/users/show/56909056","Emilia","2016-01-31","Barakaldo, Euskadi, Spain","within an hour","100%","N/A","f","https://a0.muscache.com/defaults/user_pic-50x50.png?v=2","https://a0.muscache.com/defaults/user_pic-225x225.png?v=2","",1,1,"f","f","Bilbao, Euskadi 48902, Spain",NA,"Barakaldo","Vizcaya","Bilbao","Euskadi","48902","Bilbao","Bilbao, Spain","ES","Spain",43.2922136530701,-2.99463948599285,"t","Apartment","Private room",2,1,1,2,"Real Bed",NA,"31.00","","","",NA,1,5,2,1125,"yesterday",NA,3,29,59,326,"2017-03-23",10,"2016-08-08","2017-02-27",96,10,10,10,10,9,10,"t","",NA,"t","moderate","f","f",1,1.31,FALSE,31
9226076,"https://www.airbnb.com/rooms/9226076",20170323205238,"2017-03-24","Habitación céntrica y tranquila","none","https://a0.muscache.com/im/pictures/8aa50f07-ed4a-458b-9e2c-4c8aeec64dd4.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/8aa50f07-ed4a-458b-9e2c-4c8aeec64dd4.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/8aa50f07-ed4a-458b-9e2c-4c8aeec64dd4.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/8aa50f07-ed4a-458b-9e2c-4c8aeec64dd4.jpg?aki_policy=x_large",37076706,"https://www.airbnb.com/users/show/37076706","María","2015-06-29","Bilbao, Basque Country, Spain","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/13652ff9-1387-40f2-883a-56f7004e3db8.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/13652ff9-1387-40f2-883a-56f7004e3db8.jpg?aki_policy=profile_x_medium","",1,1,"t","t","Bilbao, Euskadi 48003, Spain",NA,"Bilbao","Vizcaya","Bilbao","Euskadi","48003","Bilbao","Bilbao, Spain","ES","Spain",43.2582355654835,-2.92798749438118,"t","House","Private room",2,1,1,1,"Real Bed",NA,"41.00","210.00","","150.00",NA,1,11,1,1125,"today",NA,16,36,59,327,"2017-03-23",139,"2015-11-08","2017-03-20",96,10,10,10,10,9,10,"t","LBI82",NA,"f","moderate","f","f",1,8.29,TRUE,41
16091932,"https://www.airbnb.com/rooms/16091932",20170323205238,"2017-03-24","HABITACIÓN LUMINOSA EN CASCO VIEJO","none","https://a0.muscache.com/im/pictures/ecf59fc1-9b55-4e3c-a532-004d198176b3.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/ecf59fc1-9b55-4e3c-a532-004d198176b3.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/ecf59fc1-9b55-4e3c-a532-004d198176b3.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/ecf59fc1-9b55-4e3c-a532-004d198176b3.jpg?aki_policy=x_large",30412212,"https://www.airbnb.com/users/show/30412212","Teresa-","2015-04-01","Bilbao, Basque Country, Spain","within an hour","100%","N/A","t","https://a0.muscache.com/im/users/30412212/profile_pic/1428224723/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/30412212/profile_pic/1428224723/original.jpg?aki_policy=profile_x_medium","",2,2,"t","f","Bilbo, PV 48006, Spain",NA,"Bilbao","Vizcaya","Bilbao","PV","48006","Bilbao","Bilbo, Spain","ES","Spain",43.2583197155199,-2.91940949697972,"f","Apartment","Private room",2,1,1,1,"Real Bed",NA,"38.00","","","100.00",15,1,0,7,1125,"2 weeks ago",NA,0,0,5,134,"2017-03-23",3,"2016-12-06","2017-02-22",100,10,10,10,10,10,10,"t","L BI 0016",NA,"f","flexible","f","f",2,0.83,TRUE,38
7921813,"https://www.airbnb.com/rooms/7921813",20170323205238,"2017-03-24","Habitación muy amplia","none","https://a0.muscache.com/im/pictures/27268ce7-000c-4242-bbc2-383da8db951a.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/27268ce7-000c-4242-bbc2-383da8db951a.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/27268ce7-000c-4242-bbc2-383da8db951a.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/27268ce7-000c-4242-bbc2-383da8db951a.jpg?aki_policy=x_large",40598411,"https://www.airbnb.com/users/show/40598411","Olivier","2015-08-05","Bilbao, Basque Country, Spain","within an hour","93%","N/A","f","https://a0.muscache.com/im/pictures/26d8887f-d31e-44ca-a755-adf3061e9720.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/26d8887f-d31e-44ca-a755-adf3061e9720.jpg?aki_policy=profile_x_medium","",2,2,"t","t","Bilbao, Vizcaya/bizkaia 48003, Spain",NA,"Bilbao","Vizcaya","Bilbao","Vizcaya/bizkaia","48003","Bilbao","Bilbao, Spain","ES","Spain",43.2579312669386,-2.92748840116138,"f","Apartment","Private room",2,1,1,1,"Futon",NA,"28.00","","","",8,1,12,1,1125,"7 weeks ago",NA,21,51,81,82,"2017-03-23",27,"2016-03-26","2017-03-12",87,9,9,10,10,9,9,"t","",NA,"t","moderate","f","f",2,2.23,FALSE,28
17739419,"https://www.airbnb.com/rooms/17739419",20170323205238,"2017-03-24","Hab individual con baño privado.","none","https://a0.muscache.com/im/pictures/563377a0-2439-4bd1-acdd-d30bb2cb8ca6.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/563377a0-2439-4bd1-acdd-d30bb2cb8ca6.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/563377a0-2439-4bd1-acdd-d30bb2cb8ca6.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/563377a0-2439-4bd1-acdd-d30bb2cb8ca6.jpg?aki_policy=x_large",118484514,"https://www.airbnb.com/users/show/118484514","Goikoetxea","2017-02-28","ES","within a few hours","94%","N/A","f","https://a0.muscache.com/im/pictures/5c3b16e6-bbf1-46a4-b1be-225b1102fb33.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/5c3b16e6-bbf1-46a4-b1be-225b1102fb33.jpg?aki_policy=profile_x_medium","",3,3,"t","f","Bilbo, Euskadi 48005, Spain",NA,"Bilbao","Vizcaya","Bilbao","Euskadi","48005","Bilbao","Bilbo, Spain","ES","Spain",43.2560417443766,-2.92327241061466,"t","Apartment","Private room",1,1,NA,NA,"Real Bed",NA,"35.00","","","",NA,1,0,1,1125,"4 days ago",NA,14,26,35,39,"2017-03-23",0,"","",NA,NA,NA,NA,NA,NA,NA,"t","",NA,"t","flexible","f","f",2,NA,FALSE,35
6878187,"https://www.airbnb.com/rooms/6878187",20170323205238,"2017-03-24","habitacion balcon centro bilbao lbi44","none","https://a0.muscache.com/im/pictures/5247d464-ef41-4671-8b53-3c76c91900bf.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/5247d464-ef41-4671-8b53-3c76c91900bf.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/5247d464-ef41-4671-8b53-3c76c91900bf.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/5247d464-ef41-4671-8b53-3c76c91900bf.jpg?aki_policy=x_large",36034713,"https://www.airbnb.com/users/show/36034713","Gitanillxs","2015-06-17","Bilbao, Basque Country, Spain","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/2cdbc842-ec77-4cb5-9e7f-1800755517c9.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/2cdbc842-ec77-4cb5-9e7f-1800755517c9.jpg?aki_policy=profile_x_medium","",2,2,"t","t","Bilbao, Euskadi 48003, Spain",NA,"Bilbao","Vizcaya","Bilbao","Euskadi","48003","Bilbao","Bilbao, Spain","ES","Spain",43.2573368691766,-2.9286780192375,"t","Apartment","Private room",2,1,1,1,"Real Bed",NA,"26.00","150.00","","",NA,1,15,1,1125,"4 weeks ago",NA,25,50,80,212,"2017-03-23",157,"2015-07-06","2017-03-20",91,9,9,10,9,8,9,"t","",NA,"f","moderate","f","f",2,7.5,FALSE,26
13972888,"https://www.airbnb.com/rooms/13972888",20170323205238,"2017-03-24","Vive Bilbao como un bilbain@","none","https://a0.muscache.com/im/pictures/8c8b5c72-2c24-45ef-a8b3-dcd5c982cca3.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/8c8b5c72-2c24-45ef-a8b3-dcd5c982cca3.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/8c8b5c72-2c24-45ef-a8b3-dcd5c982cca3.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/8c8b5c72-2c24-45ef-a8b3-dcd5c982cca3.jpg?aki_policy=x_large",3424674,"https://www.airbnb.com/users/show/3424674","Zarata","2012-08-30","Bilbao, Basque Country, Spain","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/cd6f6529-6c87-45d6-8914-2bb2a96d5ecd.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/cd6f6529-6c87-45d6-8914-2bb2a96d5ecd.jpg?aki_policy=profile_x_medium","",1,1,"t","t","Bilbao, Euskadi 48006, Spain",NA,"Bilbao","Vizcaya","Bilbao","Euskadi","48006","Bilbao","Bilbao, Spain","ES","Spain",43.2564822796534,-2.91435869403862,"f","Bed & Breakfast","Private room",2,1,1,1,"Real Bed",NA,"29.00","","","",NA,1,0,1,1125,"3 days ago",NA,6,24,48,51,"2017-03-23",50,"2016-08-01","2017-03-20",95,10,9,10,10,10,10,"t","",NA,"f","moderate","f","f",1,6.36,FALSE,29
592243,"https://www.airbnb.com/rooms/592243",20170323205238,"2017-03-24","Bilbao center, wifi, near museums, awesome!","none","https://a0.muscache.com/im/pictures/104752972/b04bb608_original.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/104752972/b04bb608_original.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/104752972/b04bb608_original.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/104752972/b04bb608_original.jpg?aki_policy=x_large",2697257,"https://www.airbnb.com/users/show/2697257","Maria","2012-06-20","Bilbao, Basque Country, Spain","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/a6dd6733-f720-466c-9b0c-e130a976d25e.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/a6dd6733-f720-466c-9b0c-e130a976d25e.jpg?aki_policy=profile_x_medium","",2,2,"t","t","Bilbao, Basque Country 48012, Spain",NA,"Bilbao","Vizcaya","Bilbao","Basque Country","48012","Bilbao","Bilbao, Spain","ES","Spain",43.254796407903,-2.93473336527323,"f","Apartment","Private room",2,1,1,1,"Real Bed",0,"30.00","","560.00","",NA,1,10,1,1125,"yesterday",NA,12,38,38,38,"2017-03-23",164,"2012-07-27","2017-03-03",86,9,9,9,9,8,8,"t","",NA,"f","moderate","f","f",2,2.89,FALSE,30
17336169,"https://www.airbnb.com/rooms/17336169",20170323205238,"2017-03-24","FREE PARKING.WiFi.5BEDS.15 MINUTES WALK OLD TOWN","none","https://a0.muscache.com/im/pictures/75ecc102-3227-4c49-be80-878b95c97ac1.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/75ecc102-3227-4c49-be80-878b95c97ac1.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/75ecc102-3227-4c49-be80-878b95c97ac1.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/75ecc102-3227-4c49-be80-878b95c97ac1.jpg?aki_policy=x_large",53835119,"https://www.airbnb.com/users/show/53835119","Andoni","2016-01-08","Pamplona, Navarre, Spain","within a few hours","100%","N/A","t","https://a0.muscache.com/im/pictures/d5bfb240-d246-4783-92e3-4664ea4ad475.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/d5bfb240-d246-4783-92e3-4664ea4ad475.jpg?aki_policy=profile_x_medium","",2,2,"t","t","Bilbo, Euskadi 48003, Spain",NA,"Bilbao","Vizcaya","Bilbao","Euskadi","48003","Bilbao","Bilbo, Spain","ES","Spain",43.2459918070589,-2.92581382884041,"t","Apartment","Entire home/apt",5,1,3,4,"Real Bed",NA,"75.00","","","",NA,2,5,2,63,"today",NA,17,34,51,314,"2017-03-23",2,"2017-03-09","2017-03-20",100,10,10,10,10,10,10,"t","EBI259",NA,"f","flexible","f","f",2,2,TRUE,75
1199219,"https://www.airbnb.com/rooms/1199219",20170323205238,"2017-03-24","Views  Guggen. Deusto university","none","https://a0.muscache.com/im/pictures/18030435/63c88830_original.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/18030435/63c88830_original.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/18030435/63c88830_original.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/18030435/63c88830_original.jpg?aki_policy=x_large",3227964,"https://www.airbnb.com/users/show/3227964","Gabriela","2012-08-11","Bilbao, Basque Country, Spain","within a few hours","100%","N/A","f","https://a0.muscache.com/im/users/3227964/profile_pic/1366976566/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3227964/profile_pic/1366976566/original.jpg?aki_policy=profile_x_medium","",2,2,"t","t","Bilbo, Euskadi 48007, Spain",NA,"Bilbao","Vizcaya","Bilbao","Euskadi","48007","Bilbao","Bilbo, Spain","ES","Spain",43.2711834442901,-2.9265998954322,"f","Apartment","Private room",3,2,1,2,"Real Bed",NA,"28.00","230.00","600.00","",NA,1,27,2,30,"yesterday",NA,30,58,85,173,"2017-03-23",19,"2015-05-04","2017-03-19",91,9,9,9,10,9,9,"t","LBI 56",NA,"f","strict","f","f",2,0.82,TRUE,28
