"id","latitude","longitude","price","accommodates","room_type","host_id","host_name"
7476508,43.3211443353116,-1.97694575807942,134,2,"Private room",39152861,"Jon Area"
5528159,43.323171667007,-1.95979127973229,15,8,"Entire home/apt",12954077,"Aritz"
9804286,43.3033563229535,-2.06773363026447,130,2,"Private room",49871447,"Ibon"
6650107,43.2875340032427,-2.00097936763613,144,2,"Private room",34806472,"Aitzol"
12005871,43.3223103578965,-1.97901836608051,163,2,"Private room",149691,"Alex"
6689946,43.3227320008346,-1.96933092130019,101,2,"Private room",12747666,"Nuri Emil"
953063,43.3070129082055,-2.0585075027991,23,4,"Entire home/apt",5173315,"Casa Rural Mar Y Mar Agroturismo, S"
8348511,43.3056339798969,-1.98270849840641,36,4,"Entire home/apt",44003981,"Teresa"
14676657,43.3124819886853,-1.95022839539983,115,2,"Private room",87911311,"Mauro H."
7579287,43.3180137474382,-1.94770507520118,76,2,"Private room",39740449,"Kioko"
12866281,43.3109353219725,-1.97989649415352,12,4,"Entire home/apt",70344992,"Luis"
13539589,43.3047266217089,-1.98034475910349,170,4,"Entire home/apt",77883605,"Susana"
13459152,43.3105375416186,-1.96833717844341,158,2,"Entire home/apt",76917004,"Irene"
10995510,43.308610030196,-1.97884257766691,32,4,"Entire home/apt",57052119,"Antton"
16329112,43.2971481497857,-1.9699419301299,164,12,"Entire home/apt",106884120,"Sort"
13775202,43.3051289311476,-1.97991203309392,178,4,"Entire home/apt",48795865,"Begoña"
798148,43.3258958477453,-1.96892349522833,101,3,"Private room",4203319,"Katja"
13923596,43.3240838814244,-1.97484289804445,128,2,"Private room",15659580,"Eva"
5061885,43.3210981976866,-1.96951096232652,30,4,"Entire home/apt",5093525,"Concepción"
13191943,43.3260329824596,-1.97191989675974,60,2,"Private room",47766241,"Ignacio"
15839409,43.3032304682277,-1.97717366423823,160,5,"Entire home/apt",102583389,"Basque Stay"
1587488,43.3237915118844,-1.97739485289573,125,2,"Private room",8462790,"Maria Concepcion"
7634132,43.3248338777208,-1.97638473446803,90,2,"Private room",11326417,"Jeferson"
6400724,43.3032097453492,-2.00537471306064,134,2,"Private room",3771786,"Mari & Thomas"
5781526,43.3235049284895,-1.98426415290885,101,2,"Private room",29992891,"Brendon & Nick"
3537475,43.3038599198525,-1.97575174304688,94,2,"Private room",17631675,"Rudy"
13081587,43.3047889099352,-1.97745782097494,61,7,"Entire home/apt",72174065,"Irene Y Agustín"
3152130,43.3119009597632,-1.97937647237785,40,8,"Entire home/apt",15707672,"The Rentals Collection"
15478619,43.3223177699773,-1.97713991167153,92,2,"Private room",30110523,"Javier Ezequiel"
14301590,43.3100828166831,-2.00085810104644,96,2,"Private room",86695703,"Hugo"
14713642,43.3193798785546,-1.97546809009472,106,2,"Private room",48013502,"Urko"
8135356,43.3238931347824,-1.98561799078165,15,3,"Entire home/apt",42960862,"Mai"
7992362,43.3248964888512,-1.97364610007261,149,2,"Private room",37380080,"Rosario"
6982731,43.3228763273139,-1.97054611853511,180,2,"Entire home/apt",25221342,"Mikel"
1075192,43.3125075865861,-2.00065259835752,94,1,"Private room",5915555,"Concha"
13570213,43.324341523876,-1.98484586478279,76,2,"Private room",790667,"Off Beat Guesthouse"
15839410,43.3180242685697,-1.96833374397845,156,4,"Entire home/apt",102583389,"Basque Stay"
7624933,43.3247212191792,-1.98648680074447,36,4,"Entire home/apt",15707672,"The Rentals Collection"
13528647,43.3231124750406,-1.96943905254924,163,2,"Private room",12747666,"Nuri Emil"
10721038,43.325525281643,-1.98342947883119,15,2,"Entire home/apt",35700062,"Paulo"
8296851,43.3228873055121,-1.98120050387225,36,4,"Entire home/apt",15707672,"The Rentals Collection"
