"id","listing_url","scrape_id","last_scraped","name","experiences_offered","thumbnail_url","medium_url","picture_url","xl_picture_url","host_id","host_url","host_name","host_since","host_location","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","street","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","country_code","country","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","calendar_updated","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","license","jurisdiction_names","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","withlicense","precio"
2389434,"https://www.airbnb.com/rooms/2389434",20170323205238,"2017-03-24","Habitación rústica y acogedora","none","https://a0.muscache.com/im/pictures/ceff090d-a7cf-4376-9569-7e0d5fad49ca.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/ceff090d-a7cf-4376-9569-7e0d5fad49ca.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/ceff090d-a7cf-4376-9569-7e0d5fad49ca.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/ceff090d-a7cf-4376-9569-7e0d5fad49ca.jpg?aki_policy=x_large",11512737,"https://www.airbnb.com/users/show/11512737","Izadi","2014-01-21","San Sebastián, Basque Country, Spain","within an hour","100%","N/A","t","https://a0.muscache.com/im/pictures/762f7c23-f678-4503-9682-99898175c075.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/762f7c23-f678-4503-9682-99898175c075.jpg?aki_policy=profile_x_medium","",1,1,"t","t","San Sebastian, Basque Country 20014, Spain",NA,"Astigarraga","Guipuzcoa","Donostia","Basque Country","20014","San Sebastian","San Sebastian, Spain","ES","Spain",43.2782435045362,-1.95685388266848,"t","House","Private room",2,2,1,2,"Real Bed",NA,"50.00","","","",NA,2,10,2,1125,"6 days ago",NA,22,47,77,179,"2017-03-23",82,"2014-04-16","2017-03-05",95,10,10,10,10,9,10,"t","LSS00047",NA,"t","moderate","f","f",1,2.29,TRUE,50
7476508,"https://www.airbnb.com/rooms/7476508",20170323205238,"2017-03-24","✨DOUBLE ROOM WITH BATHROOM (Z)  L SS 00038","none","https://a0.muscache.com/im/pictures/62de5689-cd00-4123-a1af-df606572523a.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/62de5689-cd00-4123-a1af-df606572523a.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/62de5689-cd00-4123-a1af-df606572523a.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/62de5689-cd00-4123-a1af-df606572523a.jpg?aki_policy=x_large",39152861,"https://www.airbnb.com/users/show/39152861","Jon Area","2015-07-21","San Sebastián, Basque Country, Spain","within an hour","100%","N/A","t","https://a0.muscache.com/im/users/39152861/profile_pic/1438010269/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/39152861/profile_pic/1438010269/original.jpg?aki_policy=profile_x_medium","",3,3,"t","t","San Sebastián, Basque Country 20002, Spain",NA,"Donostia-San SebastiÃ¡n","Guipuzcoa","Donostia","Basque Country","20002","San Sebastian","San Sebastián, Spain","ES","Spain",43.3211443353116,-1.97694575807942,"t","Apartment","Private room",2,1,1,2,"Real Bed",NA,"50.00","","","",10,1,0,2,1125,"today",NA,6,22,35,275,"2017-03-23",84,"2015-08-16","2017-03-20",98,10,10,10,10,10,10,"t","L SS 00038",NA,"f","strict","f","f",3,4.29,TRUE,50
5528159,"https://www.airbnb.com/rooms/5528159",20170323205238,"2017-03-24","ULIA-B, MODERNO, GARAJE, WIFI","none","https://a0.muscache.com/im/pictures/70850339/6f167b5f_original.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/70850339/6f167b5f_original.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/70850339/6f167b5f_original.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/70850339/6f167b5f_original.jpg?aki_policy=x_large",12954077,"https://www.airbnb.com/users/show/12954077","Aritz","2014-03-09","San Sebastián, Basque Country, Spain","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/12954077/profile_pic/1441272628/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/12954077/profile_pic/1441272628/original.jpg?aki_policy=profile_x_medium","",19,19,"t","t","Donostia, Euskadi 20013, Spain",NA,"Donostia-San SebastiÃ¡n","Guipuzcoa","Donostia","Euskadi","20013","San Sebastian","Donostia, Spain","ES","Spain",43.323171667007,-1.95979127973229,"t","Apartment","Entire home/apt",8,3,4,8,"Real Bed",NA,"120.00","","","200.00",75,4,12,2,1125,"3 weeks ago",NA,14,36,63,300,"2017-03-23",50,"2015-04-05","2017-03-05",90,9,9,9,9,9,9,"t","",NA,"t","moderate","f","f",19,2.08,FALSE,120
9804286,"https://www.airbnb.com/rooms/9804286",20170323205238,"2017-03-24","Habitación con vistas al mar","none","https://a0.muscache.com/im/pictures/a90b70d0-b3ea-42cc-be77-b70b15a46a5d.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/a90b70d0-b3ea-42cc-be77-b70b15a46a5d.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/a90b70d0-b3ea-42cc-be77-b70b15a46a5d.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/a90b70d0-b3ea-42cc-be77-b70b15a46a5d.jpg?aki_policy=x_large",49871447,"https://www.airbnb.com/users/show/49871447","Ibon","2015-11-25","San Sebastián, Basque Country, Spain","within a day","100%","N/A","f","https://a0.muscache.com/im/pictures/e571664e-0753-4173-84a5-b8b62bd2856e.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/e571664e-0753-4173-84a5-b8b62bd2856e.jpg?aki_policy=profile_x_medium","",3,3,"t","f","Donostia, Euskadi 20008, Spain",NA,"Donostia-San SebastiÃ¡n","Guipuzcoa","Donostia","Euskadi","20008","San Sebastian","Donostia, Spain","ES","Spain",43.3033563229535,-2.06773363026447,"f","House","Private room",2,2,1,3,"Real Bed",NA,"48.00","","","",NA,1,0,2,1125,"a week ago",NA,0,0,0,2,"2017-03-23",15,"2015-12-27","2016-08-05",93,10,9,10,10,9,9,"t","",NA,"f","flexible","f","f",3,0.99,FALSE,48
16685481,"https://www.airbnb.com/rooms/16685481",20170323205238,"2017-03-24","BEATIFUL VIEW OF THE CITY","none","https://a0.muscache.com/im/pictures/8dda64aa-fc6a-4239-b2e3-35293f26b1d0.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/8dda64aa-fc6a-4239-b2e3-35293f26b1d0.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/8dda64aa-fc6a-4239-b2e3-35293f26b1d0.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/8dda64aa-fc6a-4239-b2e3-35293f26b1d0.jpg?aki_policy=x_large",81048519,"https://www.airbnb.com/users/show/81048519","Juan Jose","2016-07-01","San Sebastián, Basque Country, Spain","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/630d4f15-0d07-4c80-9ed2-755a00d56a4c.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/630d4f15-0d07-4c80-9ed2-755a00d56a4c.jpg?aki_policy=profile_x_medium","",1,1,"t","f","Donostia, Euskadi 20015, Spain",NA,"Donostia-San SebastiÃ¡n","Guipuzcoa","Donostia","Euskadi","20015","San Sebastian","Donostia, Spain","ES","Spain",43.3146905317806,-1.95924555716073,"t","Apartment","Entire home/apt",3,2,2,2,"Real Bed",NA,"60.00","","","200.00",20,2,15,2,1125,"a week ago",NA,20,39,66,189,"2017-03-23",0,"","",NA,NA,NA,NA,NA,NA,NA,"t","",NA,"t","flexible","f","f",1,NA,FALSE,60
17790556,"https://www.airbnb.com/rooms/17790556",20170323205238,"2017-03-24","Lovely Light Double Room Near Beach","none","https://a0.muscache.com/im/pictures/c1b858ba-8edb-475b-9936-4ed0769b5244.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/c1b858ba-8edb-475b-9936-4ed0769b5244.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/c1b858ba-8edb-475b-9936-4ed0769b5244.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/c1b858ba-8edb-475b-9936-4ed0769b5244.jpg?aki_policy=x_large",40355932,"https://www.airbnb.com/users/show/40355932","Alexander","2015-08-03","Bath, England, United Kingdom","within a few hours","100%","N/A","f","https://a0.muscache.com/im/pictures/773959a5-894a-4c39-a31d-3755d99f1852.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/773959a5-894a-4c39-a31d-3755d99f1852.jpg?aki_policy=profile_x_medium","",3,3,"t","f","Donostia, Euskadi 20001, Spain",NA,"Donostia-San SebastiÃ¡n","Guipuzcoa","Donostia","Euskadi","20001","San Sebastian","Donostia, Spain","ES","Spain",43.3227995014442,-1.97471880640369,"t","Apartment","Private room",2,1,1,2,"Real Bed",NA,"59.00","","","",NA,1,0,1,1125,"today",NA,6,7,7,7,"2017-03-23",0,"","",NA,NA,NA,NA,NA,NA,NA,"t","",NA,"t","flexible","f","f",3,NA,FALSE,59
6650107,"https://www.airbnb.com/rooms/6650107",20170323205238,"2017-03-24","Accommodation in spacious flat 80m2","none","https://a0.muscache.com/im/pictures/83836614/7090ac4e_original.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/83836614/7090ac4e_original.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/83836614/7090ac4e_original.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/83836614/7090ac4e_original.jpg?aki_policy=x_large",34806472,"https://www.airbnb.com/users/show/34806472","Aitzol","2015-06-02","San Sebastián, Basque Country, Spain","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/34806472/profile_pic/1433240344/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/34806472/profile_pic/1433240344/original.jpg?aki_policy=profile_x_medium","",1,1,"t","f","Donostia, Euskadi 20018, Spain",NA,"Donostia-San SebastiÃ¡n","Guipuzcoa","Donostia","Euskadi","20018","San Sebastian","Donostia, Spain","ES","Spain",43.2875340032427,-2.00097936763613,"t","Condominium","Private room",2,1,1,1,"Real Bed",NA,"55.00","300.00","","",NA,1,0,1,1125,"7 months ago",NA,0,0,0,0,"2017-03-23",4,"2015-06-15","2016-08-16",95,9,10,10,10,8,9,"t","",NA,"f","flexible","f","f",1,0.18,FALSE,55
12538218,"https://www.airbnb.com/rooms/12538218",20170323205238,"2017-03-24","July and August flat in Amara","none","https://a0.muscache.com/im/pictures/e7c9b5a2-78b8-4b5f-8a39-533d5729cd67.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/e7c9b5a2-78b8-4b5f-8a39-533d5729cd67.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/e7c9b5a2-78b8-4b5f-8a39-533d5729cd67.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/e7c9b5a2-78b8-4b5f-8a39-533d5729cd67.jpg?aki_policy=x_large",67867097,"https://www.airbnb.com/users/show/67867097","Virginia","2016-04-19","San Sebastián, Basque Country, Spain","within a few hours","100%","N/A","f","https://a0.muscache.com/im/pictures/60d6cb4b-e7a6-4eae-af60-25c4bc3cada2.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/60d6cb4b-e7a6-4eae-af60-25c4bc3cada2.jpg?aki_policy=profile_x_medium","",1,1,"t","f","San Sebastián, Basque Country 20011, Spain",NA,"Donostia-San SebastiÃ¡n","Guipuzcoa","Donostia","Basque Country","20011","San Sebastian","San Sebastián, Spain","ES","Spain",43.3038041525942,-1.97389718340786,"f","Apartment","Entire home/apt",6,1,3,3,"Real Bed",NA,"100.00","","","",NA,1,0,6,1125,"3 weeks ago",NA,0,0,0,246,"2017-03-23",5,"2016-07-13","2016-08-23",84,8,8,9,10,8,8,"t","",NA,"t","moderate","f","f",1,0.59,FALSE,100
12005871,"https://www.airbnb.com/rooms/12005871",20170323205238,"2017-03-24","Yoga house stay | Donosti Chill retreat house -2","none","https://a0.muscache.com/im/pictures/64508ffe-b0c2-4a5d-90ab-6c5aea6eb120.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/64508ffe-b0c2-4a5d-90ab-6c5aea6eb120.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/64508ffe-b0c2-4a5d-90ab-6c5aea6eb120.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/64508ffe-b0c2-4a5d-90ab-6c5aea6eb120.jpg?aki_policy=x_large",149691,"https://www.airbnb.com/users/show/149691","Alex","2010-06-22","San Sebastián, Basque Country, Spain","within a few hours","90%","N/A","f","https://a0.muscache.com/im/users/149691/profile_pic/1401734817/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/149691/profile_pic/1401734817/original.jpg?aki_policy=profile_x_medium","",12,12,"t","t","Donostia, Euskadi 20002, Spain",NA,"Donostia-San SebastiÃ¡n","Guipuzcoa","Donostia","Euskadi","20002","San Sebastian","Donostia, Spain","ES","Spain",43.3223103578965,-1.97901836608051,"t","Apartment","Private room",2,2.5,1,3,"Real Bed",NA,"75.00","","","100.00",25,2,20,3,15,"today",NA,21,51,81,346,"2017-03-23",16,"2016-03-28","2016-11-13",92,9,10,10,9,10,10,"t","",NA,"f","moderate","f","f",10,1.33,FALSE,75
6689946,"https://www.airbnb.com/rooms/6689946",20170323205238,"2017-03-24","A1 PRIVATE CHAMBRE/ROOM 5 MIN FROM THE BEACH","none","https://a0.muscache.com/im/pictures/85432993/242c7758_original.jpg?aki_policy=small","https://a0.muscache.com/im/pictures/85432993/242c7758_original.jpg?aki_policy=medium","https://a0.muscache.com/im/pictures/85432993/242c7758_original.jpg?aki_policy=large","https://a0.muscache.com/im/pictures/85432993/242c7758_original.jpg?aki_policy=x_large",12747666,"https://www.airbnb.com/users/show/12747666","Nuri Emil","2014-03-03","San Sebastián, Basque Country, Spain","within a few hours","100%","N/A","f","https://a0.muscache.com/im/users/12747666/profile_pic/1433450284/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/12747666/profile_pic/1433450284/original.jpg?aki_policy=profile_x_medium","",6,6,"t","t","Donostia, Euskadi 20013, Spain",NA,"Donostia-San SebastiÃ¡n","Guipuzcoa","Donostia","Euskadi","20013","San Sebastian","Donostia, Spain","ES","Spain",43.3227320008346,-1.96933092130019,"t","Apartment","Private room",2,1,1,1,"Real Bed",NA,"35.00","","","",NA,1,0,1,1125,"7 weeks ago",NA,0,0,18,120,"2017-03-23",50,"2015-06-26","2016-09-26",90,9,9,10,9,9,9,"t","",NA,"f","strict","f","f",6,2.35,FALSE,35
