id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,name,img
airbnb20407971,https://www.airbnb.es/rooms/20407971,-1.9712928914465997,43.32953336050721,2017-08-17 01:41:15.789000,2017-09-08 06:36:16.192000,airbnb145535875,entire_home,2,3,0,6,95,"Apartamento con encanto, la primera vista, el mar",https://a0.muscache.com/im/pictures/d3e0ee40-8c46-4916-9d45-751a2c93f429.jpg?aki_policy=medium
airbnb12163858,https://www.airbnb.es/rooms/12163858,-1.9715789053663664,43.32734477221137,2017-08-17 08:06:16.773000,2017-09-08 06:36:22.518000,airbnb40634373,entire_home,2,4,54,2,100,Piso a primera linea de playa.No Registro ESS00065,https://a0.muscache.com/im/pictures/bfa9334a-67d9-4acf-b45c-5b26ae25d156.jpg?aki_policy=medium
airbnb20049421,https://www.airbnb.es/rooms/20049421,-1.9715283787599043,43.327379294516625,2017-08-17 08:06:44.848000,2017-09-08 06:36:28.093000,airbnb13367653,entire_home,2,3,2,2,115,SAGUES II - frente a la Zurriola - Para 3 - WIFI,https://a0.muscache.com/im/pictures/1b282e84-7071-41cc-a2b5-9d57f9fbf3a0.jpg?aki_policy=medium
airbnb6984987,https://www.airbnb.es/rooms/6984987,-1.9709988679951345,43.32735889165276,2017-08-17 08:06:16.772000,2017-09-08 06:36:38.550000,airbnb36623039,entire_home,2,4,86,2,80,Apartamento + Parking ESS 00291,https://a0.muscache.com/im/pictures/38e749b1-45e8-4a69-a968-6b4c3cc61011.jpg?aki_policy=medium
airbnb18030259,https://www.airbnb.es/rooms/18030259,-1.970996373062613,43.327600951265,2017-08-17 08:06:16.773000,2017-09-08 06:36:44.103000,airbnb3952766,entire_home,1,3,11,2,100,MONPAS Reformado junto a la playa,https://a0.muscache.com/im/pictures/e76c9be6-997d-4edf-a155-e4b35877adf4.jpg?aki_policy=medium
airbnb19939593,https://www.airbnb.es/rooms/19939593,-1.9705146575892873,43.327432491356255,2017-08-17 08:06:40.748000,2017-09-08 06:36:49.516000,airbnb37985139,entire_home,2,5,2,3,155,WARUNG::Frente a la playa de la Zurriola,https://a0.muscache.com/im/pictures/00f37315-2990-48f6-9794-27a45f7f6da8.jpg?aki_policy=medium
airbnb6817855,https://www.airbnb.es/rooms/6817855,-1.9703905804470605,43.32715699424555,2017-08-17 08:06:44.848000,2017-09-08 06:36:55.478000,airbnb35700062,entire_home,1,2,10,2,80,"Vistas al Mar, Playa y Monte | Zurriola",https://a0.muscache.com/im/pictures/105999355/53757d79_original.jpg?aki_policy=medium
airbnb18954232,https://www.airbnb.es/rooms/18954232,-1.9703792461276297,43.327307940638875,2017-08-17 08:06:20.479000,2017-09-08 06:37:01.807000,airbnb33605920,private_room,1,2,16,1,54,Private room close to the beach.,https://a0.muscache.com/im/pictures/48ef3b0c-c3b7-4cdb-978c-13dfe0242284.jpg?aki_policy=medium
airbnb14131984,https://www.airbnb.es/rooms/14131984,-1.9700683955755585,43.32711377079128,2017-08-17 08:06:53.221000,2017-09-08 06:37:07.302000,airbnb85246818,entire_home,1,2,1,3,139,"XIRIMIRI: romantico, terraza, vistas al mar",https://a0.muscache.com/im/pictures/6fd1f4ac-abf0-49cb-9e5b-279c6826c673.jpg?aki_policy=medium
airbnb18699540,https://www.airbnb.es/rooms/18699540,-1.9698823054397474,43.32720501025815,2017-08-17 08:06:40.748000,2017-09-08 06:37:13.124000,airbnb124008929,entire_home,1,4,4,1,174,Bois et Fer,https://a0.muscache.com/im/pictures/2ed36b19-f5ab-4ded-a174-0490250ffd05.jpg?aki_policy=medium
airbnb4902102,https://www.airbnb.es/rooms/4902102,-1.9699450237939768,43.327562844314656,2017-08-17 08:06:32.576000,2017-09-08 06:37:19.170000,airbnb16300842,entire_home,1,2,10,1,170,Modern&amp;new house infront the beach,https://a0.muscache.com/im/pictures/89544686/16854477_original.jpg?aki_policy=medium
airbnb17427845,https://www.airbnb.es/rooms/17427845,-1.9705439236191153,43.32778224071196,2017-08-17 08:07:02.150000,2017-09-08 06:37:29.021000,airbnb64173390,entire_home,4,10,0,2,250,"Casa Eguino, en Gros. A 1 minuto de la Playa!!",https://a0.muscache.com/im/pictures/85253694-6526-4a6d-a68d-ac280495ac73.jpg?aki_policy=medium
airbnb14678064,https://www.airbnb.es/rooms/14678064,-1.9702088455863882,43.32870960352866,2017-08-17 08:06:44.848000,2017-09-08 06:37:34.656000,airbnb13367653,entire_home,3,5,5,2,110,Sagues - frente a la playa Zurriola - TSS00030,https://a0.muscache.com/im/pictures/09527f2f-055c-45ca-980c-6bbf6af34058.jpg?aki_policy=medium
airbnb20225612,https://www.airbnb.es/rooms/20225612,-1.9697259892864187,43.32851977014259,2017-08-17 08:06:16.773000,2017-09-08 06:37:40.050000,airbnb143310687,entire_home,1,2,2,1,165,TownFeel - Overlooking the beach of La Zurriola.,https://a0.muscache.com/im/pictures/74a6f036-58ed-4370-b4fe-2143b133d0de.jpg?aki_policy=medium
airbnb18441258,https://www.airbnb.es/rooms/18441258,-1.9696749141665004,43.32898438593643,2017-08-17 01:41:15.789000,2017-09-08 06:37:45.521000,airbnb15707672,entire_home,2,4,2,3,140,"Monpas | Zurriola, WiFi",https://a0.muscache.com/im/pictures/ce2c6a2c-7a8a-4af3-96e3-cf0ea84eae57.jpg?aki_policy=medium
airbnb1445649,https://www.airbnb.es/rooms/1445649,-1.9695301586589098,43.32767470939874,2017-08-17 08:06:48.886000,2017-09-08 06:37:55.035000,airbnb7761111,entire_home,2,3,23,5,125,MIRADOR MAR: terrace + parking (10eur/day),https://a0.muscache.com/im/pictures/21490305/1c640afc_original.jpg?aki_policy=medium
airbnb11833673,https://www.airbnb.es/rooms/11833673,-1.9693083852214033,43.32781782855981,2017-08-17 08:06:20.480000,2017-09-08 06:38:00.751000,airbnb63047716,entire_home,1,4,15,3,100,Apartamento ideal para surfistas-ESS00932,https://a0.muscache.com/im/pictures/76bd7460-fc18-48c8-aa66-31741375159b.jpg?aki_policy=medium
airbnb7655728,https://www.airbnb.es/rooms/7655728,-1.9693254020448088,43.32743942396528,2017-08-17 08:06:44.848000,2017-09-08 06:38:06.273000,airbnb15707672,entire_home,1,2,1,3,120,"Chloe | Zurriola, WiFi",https://a0.muscache.com/im/pictures/100705625/b68428a0_original.jpg?aki_policy=medium
airbnb3339054,https://www.airbnb.es/rooms/3339054,-1.9697558669840325,43.327189094084794,2017-08-17 08:07:02.151000,2017-09-08 06:38:11.894000,airbnb16855092,entire_home,2,6,4,6,150,ATICO FRENTE AL MAR Y TERRAZA.,https://a0.muscache.com/im/pictures/42342695/e3e98457_original.jpg?aki_policy=medium
airbnb8601329,https://www.airbnb.es/rooms/8601329,-1.9688556260921204,43.327506091014946,2017-08-17 08:06:20.479000,2017-09-08 06:38:17.687000,airbnb40678215,entire_home,0,2,44,3,120,AURORA::Bonito apartamento vistas al mar,https://a0.muscache.com/im/pictures/110102586/46e64822_original.jpg?aki_policy=medium
airbnb798148,https://www.airbnb.es/rooms/798148,-1.968923495228328,43.32589584774531,2017-08-17 08:06:09.405000,2017-09-08 06:38:27.834000,airbnb4203319,private_room,1,2,98,2,35,"Tranquilidad,vistas al mar + jardin",https://a0.muscache.com/im/pictures/11243261/2c0d7916_original.jpg?aki_policy=medium
airbnb7071231,https://www.airbnb.es/rooms/7071231,-1.9692478611032922,43.32640724457028,2017-08-17 08:06:20.479000,2017-09-08 06:38:37.771000,airbnb17863260,private_room,1,3,15,3,58,Habitacion vistas al mar 2+1 camas,https://a0.muscache.com/im/pictures/89698737/73bca28d_original.jpg?aki_policy=medium
airbnb19078248,https://www.airbnb.es/rooms/19078248,-1.9693840470024269,43.32639557901003,2017-08-17 08:06:13.126000,2017-09-08 06:38:43.276000,airbnb51308087,private_room,1,2,8,1,50,Spacious twin room at Zurriola Beach.,https://a0.muscache.com/im/pictures/d7b86cc5-b36c-4273-b063-992f228b2be0.jpg?aki_policy=medium
