id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,name,img
homeawp1427510,https://www.homeaway.es/p1427510,-1.9704114,43.3278694,2017-10-14 13:19:54.172000,2018-01-08 13:52:05.155000,homeaw1427510,Apartamento,2,6,9,5,135,"Primera linea de Playa Zurriola San Sebastian, vistas al mar y terraza    ",https://imagesus-ssl.homeaway.com/mda01/ed85d751-a667-47d2-a358-4d919408238d.1.3
homeawp1780174,https://www.homeaway.es/p1780174,-1.9704114,43.3278694,2017-10-14 13:19:48.027000,2017-12-31 11:19:51.823000,homeaw1780174,Apartamento,1,4,7,3,126,Apartamento Bois et Fer by FeelFree Rentals   ,https://imagesus-ssl.homeaway.com/mda01/ac52db8b-8499-43e5-8195-5059c7555ad2.1.3
homeawp8669420,https://www.homeaway.es/p8669420,-1.9704114,43.3278694,2018-04-15 05:37:58.500000,2018-04-16 19:06:44.466000,homeaw8669420,Apartamento,1,2,0,1,143,"CHLOE | Zurriola, WiFi   ",https://imagesus-ssl.homeaway.com/mda01/a86787c1-a675-437f-8e14-e1224bc78a2d.1.3
homeawp6962679,https://www.homeaway.es/p6962679,-1.9702167,43.3276911,2017-10-14 13:19:35.257000,2018-01-08 14:02:49.953000,homeaw6962679,Apartamento,1,2,0,3,176,XIRIMIRI apartment - PEOPLE RENTALS   ,https://imagesus-ssl.homeaway.com/mda01/8ac462ae-b3be-4c8c-975c-08d4e33f3e39.1.3
homeawp6951223,https://www.homeaway.es/p6951223,-1.9705526,43.3281385,2017-10-14 13:20:54.888000,2018-04-16 19:16:07.385000,homeaw6951223,Casa,2,4,2,2,167,SAGUES - Basque Stay   ,https://imagesus-ssl.homeaway.com/mda01/cf408db9-4746-41d1-ae96-81c586e6cd3e.1.3
homeawp6980813,https://www.homeaway.es/p6980813,-1.970553,43.328139,2017-10-14 13:20:57.856000,2018-01-08 14:02:57.708000,homeaw6980813,Apartamento,2,4,0,1,191,"Apartamento a 390 m del centro de San Sebastian con Internet, Lavadora (639729)   ",https://imagesus-ssl.homeaway.com/mda01/4cac4fef-2055-404d-875d-918cc3e6c922.1.3
homeawp623469vb,https://www.homeaway.es/p623469vb,-1.9704414,43.3278492,2017-10-14 13:18:58.721000,2018-04-16 18:58:00.479000,homeaw623469vb,Apartamento,2,6,19,5,204,"Atico a estrenar, frente a la playa, vistas al mar y terraza   ",https://imagesus-ssl.homeaway.com/mda01/a55d9690-8152-40c7-b72f-c5489356c98e.1.3
homeawp8669445,https://www.homeaway.es/p8669445,-1.9706634,43.3287251,2018-04-15 05:37:58.500000,2018-04-16 19:06:46.642000,homeaw8669445,Apartamento,2,4,0,1,339,"SCALA | Zurriola, WiFi   ",https://imagesus-ssl.homeaway.com/mda01/7d1121b6-8f79-4018-b4ab-f99fcc21407c.1.3
homeawp8299477,https://www.homeaway.es/p8299477,-1.96947724,43.32622654,2017-10-14 13:21:16.200000,2017-11-05 10:18:15.437000,homeaw8299477,Apartamento,2,3,0,3,0,SAN FRANCISCO * Always Easy   ,https://imagesus-ssl.homeaway.com/mda01/be3a1bca-df09-4ad0-b225-fbbe3acc2633.1.3
homeawp8371599,https://www.homeaway.es/p8371599,-1.970601,43.32472567,2017-10-14 13:21:22.047000,2017-12-27 18:56:51.751000,homeaw8371599,Apartamento,2,5,0,2,161,Gros beach - A pocos pasos de la playa Zurriola - Para 5 personas.WIFI   ,https://imagesus-ssl.homeaway.com/mda01/0b22caf5-5ff3-4e73-ad9a-7e28287611d3.1.3
