id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
homeaw599230518a46554e81f288861,https://www.homeaway.es/p6920063,-2.50860219,42.52160874,2017-10-13 18:41:15.613000,2018-04-24 02:07:23.222000,homeaw6920063,Villa,6,16,2,2,645
homeaw599230518a46554e81f288862,https://www.homeaway.es/p6029858,-2.510502,42.52039615,2017-10-13 18:41:29.814000,2018-04-24 02:12:06.632000,homeaw6029858,Villa,5,15,0,3,417
homeaw599230518a46554e81f288863,https://www.homeaway.es/p10126587,-2.51204517,42.51993449,2017-10-13 18:41:39.339000,2018-04-24 02:23:18.769000,homeaw10126587,Casa Rural,5,15,0,1,567
homeaw599230518a46554e81f288864,https://www.homeaway.es/p6938092,-2.57067471,42.49799243,2017-10-13 18:41:22.244000,2018-04-24 02:11:05.385000,homeaw6938092,Piso,2,4,0,1,104
homeaw599230518a46554e81f288865,https://www.homeaway.es/p6953798,-2.5731695,42.4947073,2017-10-13 18:41:22.244000,2018-04-24 02:11:56.170000,homeaw6953798,Apartamento,2,4,0,1,82
homeaw599230518a46554e81f288866,https://www.homeaway.es/p6665319,-2.58182931,43.38165665,2017-10-14 13:18:45.718000,2018-04-04 19:47:11.645000,homeaw6665319,Apartamento,2,4,1,3,77
homeaw599230518a46554e81f288867,https://www.homeaway.es/p10122661,-2.56179502,43.38685553,2017-10-14 13:18:53.074000,2018-04-16 09:43:54.914000,homeaw10122661,Casa Rural,5,10,10,1,77
homeaw599230518a46554e81f288868,https://www.homeaway.es/p10025742,-2.558889,43.352222,2017-10-14 13:18:51.849000,2018-04-16 09:44:02.278000,homeaw10025742,Hotel,9,21,1,1,88
homeaw599230518a46554e81f288869,https://www.homeaway.es/p6863628,-2.61483414,43.36846853,2017-10-14 13:18:44.283000,2018-04-16 09:44:53.828000,homeaw6863628,Apartamento,1,2,0,2,189
homeaw599230518a46554e81f2888610,https://www.homeaway.es/p833418,-2.61459464,43.3681971,2017-10-14 13:18:44.283000,2018-04-16 09:41:14.027000,homeaw833418,Casa Rural,2,4,4,2,213
homeaw599230518a46554e81f2888611,https://www.homeaway.es/p6837540,-2.61483414,43.36793817,2017-10-14 13:18:45.718000,2018-04-16 09:44:52.126000,homeaw6837540,Casa Rural,2,4,0,2,306
homeaw599230518a46554e81f2888612,https://www.homeaway.es/p6840856,-2.61483414,43.36812535,2017-10-14 13:18:45.717000,2018-04-16 09:44:50.386000,homeaw6840856,Casa Rural,1,4,0,2,206
homeaw599230518a46554e81f2888614,https://www.homeaway.es/p8629088,-2.61314974,43.37144487,2018-03-31 19:57:27.891000,2018-04-16 09:44:41.335000,homeaw8629088,Casa,3,6,0,2,500
homeaw599230518a46554e81f2888615,https://www.homeaway.es/p10128994,-2.518056,43.318056,2017-10-14 13:18:53.074000,2018-04-16 09:44:07.550000,homeaw10128994,Casa Rural,2,10,1,1,64
homeaw599230518a46554e81f2888616,https://www.homeaway.es/p10036732,-2.51371333,43.3275983,2017-10-14 13:18:50.181000,2018-04-16 09:44:27.722000,homeaw10036732,Casa Rural,6,15,0,1,0
homeaw599230518a46554e81f2888617,https://www.homeaway.es/p8251065,-2.52448099,43.36459081,2017-10-14 13:18:42.508000,2018-04-16 09:39:41.606000,homeaw8251065,Casa Rural,3,7,3,3,135
homeaw599230518a46554e81f2888618,https://www.homeaway.es/p6934082,-2.50248528,43.36553951,2017-10-14 13:18:42.508000,2018-04-16 09:39:31.850000,homeaw6934082,Apartamento,2,4,6,2,76
homeaw599230518a46554e81f2888619,https://www.homeaway.es/p8420711,-2.50856429,43.36455821,2017-10-14 13:18:50.181000,2018-04-16 09:40:18.669000,homeaw8420711,Piso,2,4,0,2,70
