id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
onlyap599230518a46554e81f288861,https://www.only-apartments.es/_/54547,-2.67717,43.29229,2018-03-31 17:55:27.544000,2018-04-18 22:47:05.442000,onlyap54547,Casa rural,,7,1,5,
onlyap599230518a46554e81f288862,https://www.only-apartments.es/_/104929,-2.728737899999942,43.374058,2018-03-31 17:54:36.973000,2018-04-18 18:02:10.824000,onlyap104929,Apartamento,,6,1,2,
onlyap599230518a46554e81f288863,https://www.only-apartments.es/_/732844,-2.62328815411593,43.3887452595101,2018-04-17 11:32:15.747000,2018-04-23 23:02:33.699000,onlyap732844,,,,,,
onlyap599230518a46554e81f288864,https://www.only-apartments.es/_/481413,-2.700278,43.40517,2018-04-17 11:31:39.573000,2018-04-23 19:08:25.649000,onlyap481413,,,,,,
onlyap599230518a46554e81f288865,https://www.only-apartments.es/_/509406,-2.700275,43.405167,2018-04-17 11:32:11.229000,2018-04-23 22:38:38.374000,onlyap509406,,,,,,
onlyap599230518a46554e81f288866,https://www.only-apartments.es/_/732522,-2.760187,43.38898,2018-04-17 11:34:38.369000,2018-04-18 17:30:35.405000,onlyap732522,,,,,,
onlyap599230518a46554e81f288867,https://www.only-apartments.es/_/482624,-2.92026,43.249364,2018-04-17 11:33:14.669000,2018-04-24 10:30:05.808000,onlyap482624,,,,,,
onlyap599230518a46554e81f288868,https://www.only-apartments.es/_/87961,-2.9232001304626465,43.25708846352805,2018-03-31 17:54:32.477000,2018-04-18 17:31:01.366000,onlyap87961,Apartamento,,2,,1,
onlyap599230518a46554e81f288869,https://www.only-apartments.es/_/679845,-2.92522,43.25712,2018-03-31 17:54:56.646000,2018-04-18 20:16:21.647000,onlyap679845,Apartamento,,6,,2,
onlyap599230518a46554e81f2888610,https://www.only-apartments.es/_/404595,-2.926437999999962,43.26186209999999,2017-11-30 19:56:51.556000,2018-04-23 01:33:48.088000,onlyap404595,Apartamento,,4,16,2,
