id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb599230518a46554e81f288861,https://www.airbnb.es/rooms/4112032,-2.5101236844181836,42.52016701418637,2017-08-14 22:47:57.555000,2018-06-13 21:42:45.213000,airbnb21333957,entire_home,5,14,21,2,704
airbnb599230518a46554e81f288862,https://www.airbnb.es/rooms/13817239,-2.5764611285599366,42.49386839673126,2017-08-14 22:47:11.779000,2018-06-04 11:40:19.784000,airbnb71579782,private_room,0,3,2,1,84
airbnb599230518a46554e81f288863,https://www.airbnb.es/rooms/12991075,-2.5738314225756938,42.493276003590054,2017-08-14 22:47:00.235000,2018-06-04 11:40:14.299000,airbnb71579782,entire_home,3,6,16,1,198
airbnb599230518a46554e81f288864,https://www.airbnb.es/rooms/18269281,-2.572934742953187,42.4940759312363,2017-08-14 22:47:15.786000,2018-06-04 11:40:22.880000,airbnb126274548,entire_home,1,6,0,2,264
airbnb599230518a46554e81f288865,https://www.airbnb.es/rooms/18267203,-2.5721172411360156,42.49434351809795,2017-08-14 22:47:19.444000,2018-06-04 11:40:25.483000,airbnb126274548,entire_home,6,12,0,2,528
airbnb599230518a46554e81f288866,https://www.airbnb.es/rooms/10293412,-2.5714663600465797,42.4950237667548,2017-08-14 22:47:08.211000,2017-09-07 16:41:23.527000,airbnb52954675,entire_home,2,4,4,1,80
airbnb599230518a46554e81f288867,https://www.airbnb.es/rooms/13097133,-2.5785997991108003,42.49112953882156,2017-08-14 22:47:11.778000,2018-06-04 11:40:08.414000,airbnb71579782,private_room,1,2,6,1,84
airbnb599230518a46554e81f288868,https://www.airbnb.es/rooms/17297151,-2.6168505656811347,42.513395936495954,2017-08-14 22:47:57.554000,2018-06-04 11:40:02.206000,airbnb116686527,private_room,0,2,0,1,82
airbnb599230518a46554e81f288869,https://www.airbnb.es/rooms/18669184,-2.618440463596532,42.51377487188646,2017-08-14 22:47:53.671000,2017-09-07 16:42:06.916000,airbnb126562938,entire_home,3,5,0,1,216
airbnb599230518a46554e81f2888610,https://www.airbnb.es/rooms/3866201,-2.6184215383794176,42.51379905307326,2017-08-14 22:47:57.555000,2017-09-07 16:42:11.764000,airbnb19958652,entire_home,3,6,0,1,200
airbnb599230518a46554e81f2888611,https://www.airbnb.es/rooms/21211325,-2.617986765780783,42.51528373604816,2018-05-04 19:21:10.315000,2018-06-04 11:39:53.264000,airbnb129750038,entire_home,3,5,1,2,240
airbnb599230518a46554e81f2888612,https://www.airbnb.es/rooms/24798381,-2.61936230284015,42.51367670201203,2018-05-04 19:21:12.507000,2018-06-04 11:39:59.419000,airbnb66176744,entire_home,8,14,0,1,540
airbnb599230518a46554e81f2888613,https://www.airbnb.es/rooms/14230519,-2.647415955201801,42.48326476576111,2017-08-14 22:47:00.235000,2018-06-04 11:39:46.949000,airbnb86503658,entire_home,2,5,3,2,54
airbnb599230518a46554e81f2888614,https://www.airbnb.es/rooms/20418943,-2.581300634310162,43.38325172742601,2017-08-15 21:01:08.675000,2018-06-03 22:29:07.270000,airbnb80034534,entire_home,3,4,20,2,66
airbnb599230518a46554e81f2888615,https://www.airbnb.es/rooms/19242807,-2.5846480135503396,43.38308426480771,2017-08-15 21:01:24.021000,2017-09-07 23:11:40.661000,airbnb134726982,private_room,1,2,0,2,79
airbnb599230518a46554e81f2888616,https://www.airbnb.es/rooms/17968285,-2.584975019840378,43.38000378963184,2017-08-15 21:00:42.215000,2018-06-03 22:30:29.389000,airbnb123392675,entire_home,3,4,6,2,156
airbnb599230518a46554e81f2888617,https://www.airbnb.es/rooms/19010714,-2.5849340922402435,43.38081135396995,2017-08-15 21:00:53.917000,2018-06-03 22:30:33.210000,airbnb123392675,entire_home,4,6,9,2,204
airbnb599230518a46554e81f2888618,https://www.airbnb.es/rooms/20619650,-2.5856826964931616,43.381633758864616,2018-04-23 08:15:10.191000,2018-05-01 08:35:33.860000,airbnb90406380,entire_home,5,10,0,2,56
airbnb599230518a46554e81f2888619,https://www.airbnb.es/rooms/11438693,-2.5854649329149324,43.37924848210322,2017-08-15 21:00:42.214000,2018-06-03 22:29:13.217000,airbnb25073851,entire_home,3,5,58,2,84
airbnb599230518a46554e81f2888620,https://www.airbnb.es/rooms/13534370,-2.57911590522011,43.38431699476596,2017-08-15 21:00:38.313000,2018-06-03 22:28:42.051000,airbnb20611562,entire_home,3,4,80,2,60
airbnb599230518a46554e81f2888621,https://www.airbnb.es/rooms/12205538,-2.561555647594946,43.38572494394707,2017-08-15 21:00:57.515000,2018-05-14 00:38:18.296000,airbnb55756064,private_room,1,2,6,2,93
airbnb599230518a46554e81f2888622,https://www.airbnb.es/rooms/15489461,-2.5612353007532067,43.35829826865927,2017-08-15 21:00:38.313000,2018-06-03 22:28:33.011000,airbnb3721977,entire_home,2,4,58,2,50
airbnb599230518a46554e81f2888623,https://www.airbnb.es/rooms/720913,-2.5761770929920633,43.35076109351697,2017-08-15 21:00:46.172000,2018-06-03 22:28:36.180000,airbnb3721977,entire_home,2,4,120,2,59
airbnb599230518a46554e81f2888624,https://www.airbnb.es/rooms/13262727,-2.564956061436759,43.3624831690928,2017-08-15 21:00:46.172000,2018-06-03 22:30:14.666000,airbnb46753212,entire_home,0,8,46,2,179
airbnb599230518a46554e81f2888625,https://www.airbnb.es/rooms/22303458,-2.57001336463575,43.377428521568326,2018-04-09 19:08:31.153000,2018-06-03 22:28:39.007000,airbnb113954838,private_room,2,4,17,1,48
airbnb599230518a46554e81f2888626,https://www.airbnb.es/rooms/16973575,-2.571493570501191,43.3765147190897,2017-08-15 21:01:08.675000,2017-09-07 23:12:32.931000,airbnb113546808,entire_home,3,6,1,3,190
airbnb599230518a46554e81f2888627,https://www.airbnb.es/rooms/20616003,-2.586588020398312,43.37727707641865,2017-08-25 05:34:25.950000,2018-06-03 22:31:19.353000,airbnb90406380,private_room,0,2,1,1,60
airbnb599230518a46554e81f2888628,https://www.airbnb.es/rooms/1779701,-2.615495888629142,43.3683854904199,2017-08-15 21:01:04.891000,2018-05-14 00:37:18.190000,airbnb9343474,entire_home,0,2,4,2,228
airbnb599230518a46554e81f2888629,https://www.airbnb.es/rooms/1779704,-2.6141517428223526,43.367277919344765,2017-08-15 21:01:08.676000,2018-05-14 00:37:31.213000,airbnb9343474,entire_home,0,6,6,2,615
airbnb599230518a46554e81f2888630,https://www.airbnb.es/rooms/1779707,-2.613678448326694,43.369711215678116,2017-08-15 21:01:20.231000,2018-06-03 22:30:36.222000,airbnb9343474,entire_home,0,4,4,2,366
