id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
homeaw599232778a46554f807af49f1,https://www.homeaway.es/p6284112,-2.92944765,43.24983978,2017-10-14 13:18:50.181000,2017-12-04 12:11:07.605000,homeaw6284112,Piso,3,6,12,4,129
homeaw599232778a46554f807af49f2,https://www.homeaway.es/p6993794,-2.9248734,43.2449842,2017-10-14 13:18:42.508000,2017-12-23 22:13:36.681000,homeaw6993794,Piso,3,5,10,2,0
homeaw599232778a46554f807af49f3,https://www.homeaway.es/p8561626,-2.92483912,43.24495767,2018-03-31 19:32:36.884000,2018-09-25 23:01:26.311000,homeaw8561626,Piso,2,4,3,2,88
homeaw599232778a46554f807af49f4,https://www.homeaway.es/p6351225,-2.92489791,43.24489594,2017-10-14 13:18:42.508000,2018-01-08 14:02:39.306000,homeaw6351225,Piso,2,6,50,3,80
homeaw599232778a46554f807af49f5,https://www.homeaway.es/p8836212,-2.9215646,43.2527501,2018-08-25 14:24:18.634000,2018-09-25 23:04:57.920000,homeaw8836212,Apartamento,2,4,0,2,98
homeaw599232778a46554f807af49f6,https://www.homeaway.es/p6809545,-2.9212523,43.2527443,2017-10-14 13:18:53.074000,2018-01-08 14:02:46.310000,homeaw6809545,Apartamento,3,6,1,1,124
homeaw599232778a46554f807af49f7,https://www.homeaway.es/p8269126,-2.9212766,43.2527991,2017-10-14 13:18:53.074000,2017-12-20 02:25:33.878000,homeaw8269126,Apartamento,4,8,1,1,141
homeaw599232778a46554f807af49f8,https://www.homeaway.es/p8818737,-2.91803184,43.25284947,2018-08-25 14:24:18.634000,2018-09-25 23:13:27.170000,homeaw8818737,Apartamento,2,4,0,3,94
homeaw599232778a46554f807af49f9,https://www.homeaway.es/p8832945,-2.91162804,43.25077933,2018-08-25 14:24:18.634000,2018-09-25 23:04:43.412000,homeaw8832945,Piso,3,5,0,2,98
homeaw599232778a46554f807af49f10,https://www.homeaway.es/p8425834,-2.910035,43.2490206,2017-10-27 16:24:08.294000,2018-09-25 23:05:01.028000,homeaw8425834,Piso,2,4,0,2,80
homeaw599232778a46554f807af49f11,https://www.homeaway.es/p10131385,-2.91226131,43.27326368,2018-03-31 19:33:01.878000,2018-09-21 20:27:10.345000,homeaw10131385,Casa Rural,5,12,0,1,433
homeaw599232778a46554f807af49f12,https://www.homeaway.es/p8367945,-2.91198708,43.26867526,2017-10-14 13:18:48.812000,2018-05-23 04:47:18.728000,homeaw8367945,Apartamento,3,6,0,1,228
homeaw599232778a46554f807af49f13,https://www.homeaway.es/p6972478,-2.9262046,43.2683732,2017-10-14 13:18:47.276000,2018-09-25 23:11:03.373000,homeaw6972478,Apartamento,3,6,1,30,167
homeaw599232778a46554f807af49f14,https://www.homeaway.es/p6844510,-2.9271463,43.2667225,2017-10-27 16:24:13.863000,2018-08-31 16:50:50.681000,homeaw6844510,Apartamento,2,6,1,2,124
homeaw599232778a46554f807af49f15,https://www.homeaway.es/p8468729,-2.92697727,43.26366739,2017-12-05 22:21:33.217000,2018-09-21 19:47:17.791000,homeaw8468729,Apartamento,3,7,4,1,145
homeaw599232778a46554f807af49f16,https://www.homeaway.es/p6905822,-2.92193212,43.26569264,2017-10-14 13:18:42.508000,2017-11-05 09:34:32.001000,homeaw6905822,Apartamento,1,4,1,2,67
homeaw599232778a46554f807af49f17,https://www.homeaway.es/p8590306,-2.92074251,43.26664378,2018-03-31 19:32:36.884000,2018-09-25 23:00:53.966000,homeaw8590306,Piso,2,4,3,2,83
