date,entire_home,private_room,shared_room,total
2015-11-01,658,267,1,926
2015-12-01,629,243,5,877
2016-01-01,671,264,4,939
2016-02-01,691,286,6,983
2016-03-01,656,169,2,827
2016-04-01,700,136,3,839
2016-05-01,920,282,4,1206
2016-06-01,1119,438,7,1564
2016-07-01,1393,588,17,1998
2016-08-01,1489,618,19,2126
2016-09-01,1337,535,12,1884
2016-10-01,1203,402,5,1610
2016-11-01,1229,425,7,1661
2016-12-01,1133,347,6,1486
2017-01-01,1169,348,6,1523
2017-02-01,936,281,5,1222
2017-03-01,984,285,5,1274
2017-04-01,1072,311,5,1388
2017-05-01,1181,396,7,1584
2017-06-01,1481,485,9,1975
2017-07-01,1694,616,11,2321
2017-08-01,1679,651,13,2343
2017-09-01,1491,558,7,2056
2017-10-01,1271,427,6,1704
2017-11-01,1262,428,5,1695
2017-12-01,1090,342,5,1437
2018-01-01,1049,344,4,1397
2018-02-01,928,325,3,1256
2018-03-01,1018,365,5,1388
2018-04-01,1071,350,3,1424
2018-05-01,1114,351,4,1469
2018-06-01,1251,444,5,1700
2018-07-01,1391,551,10,1952
2018-08-01,1379,568,6,1953
2018-09-01,1242,519,5,1766
2018-10-01,1047,449,3,1499
