id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
homeaw599232738a46554f807af4491,https://www.homeaway.es/p8814295,-1.95598148,43.33279303,2018-09-15 19:34:59.949000,2018-09-23 21:44:38.317000,homeaw8814295,Apartamento,2,6,0,1,0
homeaw599232738a46554f807af4492,https://www.homeaway.es/p8753604,-1.9710408,43.3277198,2018-06-12 23:18:04.736000,2018-09-23 18:07:13.286000,homeaw8753604,Apartamento,2,4,0,2,0
homeaw599232738a46554f807af4493,https://www.homeaway.es/p1427510,-1.9704114,43.3278694,2017-10-14 13:19:54.172000,2018-09-23 20:45:32.511000,homeaw1427510,Apartamento,2,6,9,7,165
homeaw599232738a46554f807af4494,https://www.homeaway.es/p1780174,-1.9704114,43.3278694,2017-10-14 13:19:48.027000,2017-12-31 11:19:51.823000,homeaw1780174,Apartamento,1,4,7,3,126
homeaw599232738a46554f807af4495,https://www.homeaway.es/p8669420,-1.9704114,43.3278694,2018-04-15 05:37:58.500000,2018-09-23 20:30:21.843000,homeaw8669420,Apartamento,1,2,0,1,131
homeaw599232738a46554f807af4496,https://www.homeaway.es/p6962679,-1.9702167,43.3276911,2017-10-14 13:19:35.257000,2018-06-26 22:29:23.262000,homeaw6962679,Apartamento,1,2,1,3,289
homeaw599232738a46554f807af4497,https://www.homeaway.es/p6951223,-1.9705526,43.3281385,2017-10-14 13:20:54.888000,2018-09-23 18:05:17.518000,homeaw6951223,Casa,2,4,3,2,147
homeaw599232738a46554f807af4498,https://www.homeaway.es/p6980813,-1.970553,43.328139,2017-10-14 13:20:57.856000,2018-01-08 14:02:57.708000,homeaw6980813,Apartamento,2,4,0,1,191
homeaw599232738a46554f807af4499,https://www.homeaway.es/p623469vb,-1.9704414,43.3278492,2017-10-14 13:18:58.721000,2018-09-23 17:59:16.934000,homeaw623469vb,Apartamento,2,6,22,5,165
homeaw599232738a46554f807af44910,https://www.homeaway.es/p8745403,-1.97060047,43.32877991,2018-06-12 23:18:06.909000,2018-09-23 21:59:27.830000,homeaw8745403,Apartamento,1,2,0,7,175
homeaw599232738a46554f807af44911,https://www.homeaway.es/p8669445,-1.9706634,43.3287251,2018-04-15 05:37:58.500000,2018-09-23 18:09:19.464000,homeaw8669445,Apartamento,2,4,0,1,185
homeaw599232738a46554f807af44912,https://www.homeaway.es/p8299477,-1.96947724,43.32622654,2017-10-14 13:21:16.200000,2017-11-05 10:18:15.437000,homeaw8299477,Apartamento,2,3,0,3,0
homeaw599232738a46554f807af44913,https://www.homeaway.es/p8669447,-1.9702395,43.3268969,2018-04-23 00:00:03.793000,2018-09-23 20:56:26.423000,homeaw8669447,Apartamento,1,2,0,1,135
homeaw599232738a46554f807af44914,https://www.homeaway.es/p8262623,-1.96936737,43.32273529,2017-10-14 13:21:09.540000,2018-09-23 20:37:06.761000,homeaw8262623,Apartamento,1,4,0,2,165
homeaw599232738a46554f807af44915,https://www.homeaway.es/p8104476,-1.9702552,43.3244493,2017-10-14 13:21:00.550000,2018-01-08 14:02:58.154000,homeaw8104476,Apartamento,2,4,0,2,0
homeaw599232738a46554f807af44916,https://www.homeaway.es/p8466266,-1.97173858,43.32372265,2018-06-12 23:18:06.909000,2018-09-23 21:42:47.621000,homeaw8466266,Apartamento,2,4,0,1,0
homeaw599232738a46554f807af44917,https://www.homeaway.es/p8727407,-1.9711143,43.3236314,2018-06-12 23:18:11.773000,2018-09-23 18:12:14.046000,homeaw8727407,Casa,2,4,0,3,140
homeaw599232738a46554f807af44918,https://www.homeaway.es/p6967337,-1.9716209,43.3230708,2017-10-14 13:20:54.888000,2018-09-23 18:15:10.953000,homeaw6967337,Apartamento,2,5,5,3,189
homeaw599232738a46554f807af44919,https://www.homeaway.es/p1780189,-1.9723329,43.3233048,2017-10-14 13:19:39.978000,2018-09-23 21:53:12.596000,homeaw1780189,Apartamento,2,4,20,3,185
homeaw599232738a46554f807af44920,https://www.homeaway.es/p8371599,-1.9723329,43.3233048,2017-10-14 13:21:22.047000,2018-09-23 20:37:34.175000,homeaw8371599,Apartamento,2,5,0,2,157
homeaw599232738a46554f807af44921,https://www.homeaway.es/p8679879,-1.9723329,43.3233048,2018-04-15 05:37:58.500000,2018-04-16 19:06:28.932000,homeaw8679879,Apartamento,2,4,0,2,248
homeaw599232738a46554f807af44922,https://www.homeaway.es/p8715423,-1.9723676,43.3226317,2018-05-10 14:58:21.744000,2018-06-26 22:21:48.019000,homeaw8715423,Apartamento,1,4,0,3,0
homeaw599232738a46554f807af44923,https://www.homeaway.es/p8712623,-1.9723676,43.3226317,2018-05-10 14:58:21.744000,2018-06-26 22:21:44.210000,homeaw8712623,Apartamento,1,4,0,3,0
homeaw599232738a46554f807af44924,https://www.homeaway.es/p8710487,-1.9723676,43.3226317,2018-05-10 14:58:33.404000,2018-09-23 20:47:52.059000,homeaw8710487,Apartamento,1,4,0,0,116
homeaw599232738a46554f807af44925,https://www.homeaway.es/p8716268,-1.9723676,43.3226317,2018-09-15 19:35:01.791000,2018-09-23 20:48:05.460000,homeaw8716268,Apartamento,1,4,0,0,115
homeaw599232738a46554f807af44926,https://www.homeaway.es/p8710475,-1.9726465,43.3225264,2018-05-10 14:58:33.404000,2018-09-23 21:50:27.462000,homeaw8710475,Apartamento,2,6,0,0,140
homeaw599232738a46554f807af44927,https://www.homeaway.es/p8710484,-1.9726465,43.3225264,2018-05-10 14:58:33.404000,2018-09-23 20:46:45.208000,homeaw8710484,Apartamento,1,4,0,0,111
homeaw599232738a46554f807af44928,https://www.homeaway.es/p8710482,-1.9726465,43.3225264,2018-05-10 14:58:33.404000,2018-09-23 20:46:54.209000,homeaw8710482,Apartamento,1,4,0,0,113
homeaw599232738a46554f807af44929,https://www.homeaway.es/p8687770,-1.9726465,43.3225264,2018-06-12 23:18:57.051000,2018-06-26 23:00:30.821000,homeaw8687770,Apartamento,2,6,0,3,270
