id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
homeaw599230518a46554e81f288861,https://www.homeaway.es/p6920063,-2.50860219,42.52160874,2017-10-13 18:41:15.613000,2018-09-24 22:42:57.092000,homeaw6920063,Villa,5,16,3,2,403
homeaw599230518a46554e81f288862,https://www.homeaway.es/p6029858,-2.510502,42.52039615,2017-10-13 18:41:29.814000,2018-09-25 03:52:03.794000,homeaw6029858,Villa,5,15,0,3,357
homeaw599230518a46554e81f288863,https://www.homeaway.es/p10126587,-2.51204517,42.51993449,2017-10-13 18:41:39.339000,2018-09-25 02:48:14.125000,homeaw10126587,Casa Rural,5,15,1,1,555
homeaw599230518a46554e81f288864,https://www.homeaway.es/p6938092,-2.57067471,42.49799243,2017-10-13 18:41:22.244000,2018-09-25 03:50:44.523000,homeaw6938092,Piso,2,4,0,1,104
homeaw599230518a46554e81f288865,https://www.homeaway.es/p6953798,-2.5731695,42.4947073,2017-10-13 18:41:22.244000,2018-09-24 22:35:35.206000,homeaw6953798,Apartamento,2,4,0,1,88
homeaw599230518a46554e81f288866,https://www.homeaway.es/p6665319,-2.58182931,43.38165665,2017-10-14 13:18:45.718000,2018-09-25 23:02:57.223000,homeaw6665319,Apartamento,2,4,1,3,77
homeaw599230518a46554e81f288867,https://www.homeaway.es/p10122661,-2.56179502,43.38685553,2017-10-14 13:18:53.074000,2018-09-25 23:14:39.922000,homeaw10122661,Casa Rural,6,12,11,1,81
homeaw599230518a46554e81f288868,https://www.homeaway.es/p10025742,-2.558889,43.352222,2017-10-14 13:18:51.849000,2018-09-25 23:14:51.577000,homeaw10025742,Hotel,9,21,4,1,132
homeaw599230518a46554e81f288869,https://www.homeaway.es/p8750913,-2.57685075,43.36984899,2018-06-12 22:51:21.066000,2018-09-21 20:29:21.903000,homeaw8750913,Casa Rural,2,4,4,4,235
homeaw599230518a46554e81f2888610,https://www.homeaway.es/p8750925,-2.57935858,43.37189421,2018-06-12 22:51:21.066000,2018-09-21 20:31:51.719000,homeaw8750925,Casa Rural,3,6,0,2,450
homeaw599230518a46554e81f2888611,https://www.homeaway.es/p6863628,-2.61483414,43.36846853,2017-10-14 13:18:44.283000,2018-09-21 20:30:59.145000,homeaw6863628,Apartamento,1,2,0,2,183
homeaw599230518a46554e81f2888612,https://www.homeaway.es/p833418,-2.61459464,43.3681971,2017-10-14 13:18:44.283000,2018-05-24 04:38:49.554000,homeaw833418,Casa Rural,2,4,4,2,235
homeaw599230518a46554e81f2888613,https://www.homeaway.es/p6837540,-2.61483414,43.36793817,2017-10-14 13:18:45.718000,2018-09-25 23:15:03.108000,homeaw6837540,Casa Rural,2,4,1,2,296
homeaw599230518a46554e81f2888614,https://www.homeaway.es/p6840856,-2.61483414,43.36812535,2017-10-14 13:18:45.717000,2018-09-25 23:15:04.785000,homeaw6840856,Casa Rural,1,4,0,2,198
homeaw599230518a46554e81f2888616,https://www.homeaway.es/p8629088,-2.61314974,43.37144487,2018-03-31 19:57:27.891000,2018-05-24 04:44:35.949000,homeaw8629088,Casa,3,6,0,2,500
homeaw599230518a46554e81f2888617,https://www.homeaway.es/p10128994,-2.518056,43.318056,2017-10-14 13:18:53.074000,2018-09-21 20:22:04.219000,homeaw10128994,Casa Rural,2,10,2,1,67
homeaw599230518a46554e81f2888618,https://www.homeaway.es/p10036732,-2.51371333,43.3275983,2017-10-14 13:18:50.181000,2018-09-25 23:14:09.475000,homeaw10036732,Casa Rural,6,15,0,1,61
homeaw599230518a46554e81f2888619,https://www.homeaway.es/p8251065,-2.52448099,43.36459081,2017-10-14 13:18:42.508000,2018-09-25 23:00:27.668000,homeaw8251065,Casa Rural,3,7,12,3,130
homeaw599230518a46554e81f2888620,https://www.homeaway.es/p6934082,-2.50248528,43.36553951,2017-10-14 13:18:42.508000,2018-09-25 22:58:55.639000,homeaw6934082,Apartamento,2,4,7,2,52
homeaw599230518a46554e81f2888621,https://www.homeaway.es/p8757963,-2.50825488,43.36425298,2018-06-12 22:51:16.563000,2018-06-23 14:41:21.259000,homeaw8757963,Piso,3,5,0,1,120
homeaw599230518a46554e81f2888622,https://www.homeaway.es/p8420711,-2.50856429,43.36455821,2017-10-14 13:18:50.181000,2018-09-25 23:03:57.584000,homeaw8420711,Piso,2,4,0,2,69
homeaw599230518a46554e81f2888623,https://www.homeaway.es/p8443632,-2.5037229,43.3643807,2017-11-27 04:42:27.203000,2018-09-25 23:05:58.995000,homeaw8443632,Apartamento,1,4,0,1,120
homeaw599230518a46554e81f2888624,https://www.homeaway.es/p10027738,-2.4969585,43.26539432,2017-10-14 13:18:51.849000,2018-09-21 20:25:06.500000,homeaw10027738,Casa Rural,5,10,2,1,225
homeaw599230518a46554e81f2888625,https://www.homeaway.es/p10015541,-2.538333,43.243333,2017-10-14 13:18:53.074000,2018-09-21 20:26:26.233000,homeaw10015541,Casa Rural,9,16,0,1,201
homeaw599230518a46554e81f2888626,https://www.homeaway.es/p8742188,-2.47295814,43.18732386,2018-06-12 22:51:01.087000,2018-09-21 19:51:26.367000,homeaw8742188,Piso,1,2,0,6,50
