id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
132068,Great attic+terrace+parking. Beach views. ESS00578,648938,Mikel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3252,-1.97209,Entire home/apt,79,1,431,2019-05-27,4.43,1,226
138845,kurtzio flat,677646,Ana,Vizcaya,Bermeo,43.41902,-2.72375,Entire home/apt,40,1,282,2019-05-26,4.05,1,41
142760,Apartment with ocean views,693119,Andre,Vizcaya,Busturia,43.39062,-2.6947,Entire home/apt,91,5,35,2019-04-22,0.37,1,365
223952,Caserío en la Costa Vasca,1040085,Diego,Vizcaya,Ibarrangelu,43.39426,-2.64648,Entire home/apt,150,7,9,2018-08-25,0.11,1,268
239971,Beautiful Rural house near Bilbao,1258788,Maria Lourdes,Vizcaya,Mungai,43.38018,-2.82413,Private room,73,2,0,,,3,312
286084,Habitación independiente con baño privado,1465243,Isabel,GuipÃºzcoa,Irun,43.33757,-1.81904,Private room,62,2,40,2019-04-21,1.83,1,334
309802,Luxury w/terrace near the beach WIF,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31582,-2.00394,Entire home/apt,195,3,4,2018-04-19,0.06,8,296
309813,Near the beach with terrace WIFI,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31478,-1.98734,Entire home/apt,180,31,12,2018-06-02,0.14,8,269
309828,Modern apt with beach view WIFI.,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31631,-1.98617,Entire home/apt,180,31,32,2017-09-24,0.49,8,0
309830,Gorgeus modern design WIFI Beach,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31679,-1.98624,Private room,210,7,19,2018-07-11,0.26,8,287
327425,Charming apartment 2 blocks Guggenh,1673566,Oiane,Vizcaya,Bilbao,43.2661,-2.93539,Entire home/apt,85,5,41,2018-05-16,0.47,1,349
329695,"By Guggenheim museum. For ""Game of Thrones"" fans",1683082,Gorka,Vizcaya,Plentzia,43.40585,-2.94824,Entire home/apt,180,3,6,2019-04-26,0.56,1,243
341691,rent room for days,1733722,Itziar,Vizcaya,Bilbao,43.26317,-2.94752,Private room,50,2,19,2019-05-28,0.95,1,305
360571,Refurbished 2 bedroom flat Donostia,1823300,Jon & Manex,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30453,-1.97554,Entire home/apt,150,4,21,2018-11-03,0.57,7,254
376823,"Elegant palace with a privat foret,",1716909,Joxeanjel,GuipÃºzcoa,Oiartzun,43.2971,-1.86289,Entire home/apt,800,7,0,,,1,348
386301,Confortable next to surfing beach ,1933529,Ainhoa,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32412,-1.97071,Entire home/apt,100,2,204,2019-05-21,2.83,1,115
393715,Apartamento en Costa Vasca,1968496,Concha,GuipÃºzcoa,Mutriku,43.3078,-2.38691,Entire home/apt,65,3,64,2019-05-20,0.76,2,280
404270,old part San Sebastian single room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32442,-1.98384,Private room,50,1,8,2017-07-25,0.14,4,31
417854,Double room in Comfy & spacious apt,1823300,Jon & Manex,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3053,-1.98,Private room,80,2,46,2019-01-01,0.54,7,254
424487, Apartamento Gorliz Playa - Vizcaya,2110227,Koldo,Vizcaya,Gorliz,43.41362,-2.93662,Entire home/apt,90,3,33,2019-04-22,0.40,1,331
429657,Glasshouse+garden. 1 Km Sea,1986539,Igor,Vizcaya,Ibarrangelu,43.38659,-2.63097,Entire home/apt,90,2,60,2019-04-26,0.88,2,166
429887,old part SS double room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32489,-1.98353,Private room,60,2,14,2017-06-21,0.26,4,33
430475,Terrace apartement next to beach,2131752,Ana,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31274,-2.00474,Entire home/apt,150,4,21,2018-08-30,0.45,1,149
443362,old part of SS singel room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32466,-1.98436,Private room,30,2,5,2018-02-25,0.11,4,31
452464,Best of both worlds - mountains/city (3 rooms),1141079,Sally & Rober,Vizcaya,Durango,43.15336,-2.61773,Private room,130,2,61,2019-04-21,0.72,4,81
456366,City Center Private Room + Bathroom,59550,Maite,Vizcaya,Bilbao,43.26258,-2.9433,Private room,95,2,60,2019-05-20,0.72,3,331
456706,Your Place JUST right in the CENTER,59550,Maite,Vizcaya,Bilbao,43.26456,-2.94349,Private room,75,2,33,2018-09-12,0.39,3,324
457366,old part SS  3 bed room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32305,-1.98257,Private room,90,2,10,2016-05-29,0.12,4,36
458864,"Beautiful Room, Sea view, Heart of City Center",2281404,Ana Isabel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32226,-1.98788,Private room,45,2,67,2019-03-04,0.80,2,164
491403,Mountains/city - twin room own bath,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.15173,-2.61799,Private room,57,1,42,2019-05-17,0.51,4,282
492561,Mountains and city: Two twin rooms,1141079,Sally & Rober,Vizcaya,Durango,43.15249,-2.61748,Private room,93,2,19,2019-04-23,0.23,4,282
492633,Mountains and city: Double ensuite,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.1538,-2.61728,Private room,59,1,102,2019-05-19,1.23,4,283
512917,"APPARTMENT RENOVATED, NEAR UNIVERSI",2524293,Itziar,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31542,-2.00173,Entire home/apt,160,3,18,2018-07-30,0.22,1,13
533925,Zeaietaberri Rural house,1659388,Zelaieta,GuipÃºzcoa,Deba,43.28019,-2.32512,Entire home/apt,225,5,8,2018-01-06,0.11,1,154
544285,Have a great time near to the sea,2676178,Columba,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30991,-2.00161,Private room,55,1,317,2019-05-12,3.78,2,284
547513,Nice sunny room near Zurriola Beach,2691611,Daniela,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32432,-1.97208,Private room,75,2,16,2018-08-04,0.19,2,314
559545,107m2 en el centro de Labastida,2750534,Josefa,Ãlava,Labastida,42.58841,-2.7915,Entire home/apt,70,2,32,2019-05-20,0.40,1,296
565505,Beautiful and sunny flat in Gros,2691611,Daniela,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32546,-1.97133,Entire home/apt,185,2,9,2019-04-19,0.11,2,217
592243,"Bilbao center, wifi, near museums, awesome!",2697257,Maria,Vizcaya,Bilbao,43.2548,-2.93473,Private room,34,2,356,2019-05-16,4.28,1,130
605611,"cool room, nice flat, fun people",2977232,Sebastian,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32427,-1.96793,Private room,40,2,31,2018-09-24,0.37,2,88
617702,"Basque Country, 112 m² flat close to beach",3060941,Joxean,GuipÃºzcoa,Deba,43.2906,-2.35669,Entire home/apt,90,3,10,2019-04-22,0.14,1,175
618478,Apartamento en San Sebastian,1934446,Marián,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30549,-1.97476,Entire home/apt,130,5,9,2018-08-26,0.15,1,38
629957,Flat with terrace and sea views,3130447,Ibon,Vizcaya,Elantxobe,43.40385,-2.63974,Entire home/apt,100,3,41,2019-05-04,0.56,1,317
641478,COUNTRY HOUSE BY THE BUTRON RIVER,3196379,Iñigo,Vizcaya,Gatika,43.38735,-2.91909,Entire home/apt,480,2,18,2019-04-15,0.22,1,263
642966,Precioso Loft en Bakio,3214681,Katalin,Vizcaya,Bakio,43.42879,-2.81342,Entire home/apt,70,2,86,2018-09-30,1.15,1,148
643129,Design Apartment1+ iPad+ CityCentre,3215084,Serafin,Vizcaya,Bilbao,43.25334,-2.92521,Entire home/apt,80,1,82,2018-02-26,1.00,3,6
645548,BEAUTIFUL SEASIDE FLAT WITH TERRACE + PARKING,3232667,Javi,Vizcaya,Plentzia,43.40588,-2.94743,Entire home/apt,59,2,95,2019-05-19,1.17,1,107
