"","id","latitude","longitude","price","accommodates","room_type","host_id","host_name","source","barrio","umenores"
"1",7476508,43.3211443353116,-1.97694575807942,50,2,"Private room",39152861,"Jon Area","InsideAirbnb,Santi Espinosa","Gros","Gros"
"2",5528159,43.323171667007,-1.95979127973229,120,8,"Entire home/apt",12954077,"Aritz","InsideAirbnb,Santi Espinosa","Ategorrieta-Ulia","Ategorrieta"
"3",9804286,43.3033563229535,-2.06773363026447,48,2,"Private room",49871447,"Ibon","InsideAirbnb,Santi Espinosa","Igeldo","IGELDO"
"4",6650107,43.2875340032427,-2.00097936763613,55,2,"Private room",34806472,"Aitzol","InsideAirbnb,Santi Espinosa","Añorga","ANORGA"
"5",12005871,43.3223103578965,-1.97901836608051,75,2,"Private room",149691,"Alex","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"6",6689946,43.3227320008346,-1.96933092130019,35,2,"Private room",12747666,"Nuri Emil","InsideAirbnb,Santi Espinosa","Gros","Gros"
"7",953063,43.3070129082055,-2.0585075027991,132,4,"Entire home/apt",5173315,"Casa Rural Mar Y Mar Agroturismo, S","InsideAirbnb,Santi Espinosa","Igeldo","IGELDO"
"8",8348511,43.3056339798969,-1.98270849840641,150,4,"Entire home/apt",44003981,"Teresa","InsideAirbnb,Santi Espinosa","Amara Berri","Morlans"
"9",14676657,43.3124819886853,-1.95022839539983,40,2,"Private room",87911311,"Mauro H.","InsideAirbnb,Santi Espinosa","Intxaurrondo","Intxaurrondo Sur"
"10",7579287,43.3180137474382,-1.94770507520118,25,2,"Private room",39740449,"Kioko","InsideAirbnb,Santi Espinosa","Intxaurrondo","Intxaurrondo Berri"
"11",12866281,43.3109353219725,-1.97989649415352,115,4,"Entire home/apt",70344992,"Luis","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"12",13539589,43.3047266217089,-1.98034475910349,80,4,"Entire home/apt",77883605,"Susana","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"13",13459152,43.3105375416186,-1.96833717844341,70,2,"Entire home/apt",76917004,"Irene","InsideAirbnb,Santi Espinosa","Loiola","Loiola Casco"
"14",10995510,43.308610030196,-1.97884257766691,148,4,"Entire home/apt",57052119,"Antton","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"15",16329112,43.2971481497857,-1.9699419301299,750,12,"Entire home/apt",106884120,"Sort","InsideAirbnb,Santi Espinosa","Miramon-Zorroaga","Iyola"
"16",13775202,43.3051289311476,-1.97991203309392,90,4,"Entire home/apt",48795865,"Begoña","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"17",798148,43.3258958477453,-1.96892349522833,35,3,"Private room",4203319,"Katja","InsideAirbnb,Santi Espinosa","Ategorrieta-Ulia","Manteo"
"18",13923596,43.3240838814244,-1.97484289804445,47,2,"Private room",15659580,"Eva","InsideAirbnb,Santi Espinosa","Gros","Gros"
"19",5061885,43.3210981976866,-1.96951096232652,145,4,"Entire home/apt",5093525,"Concepción","InsideAirbnb,Santi Espinosa","Egia","Jai - Alai"
"20",13191943,43.3260329824596,-1.97191989675974,20,2,"Private room",47766241,"Ignacio","InsideAirbnb,Santi Espinosa","Gros","Gros"
"21",15839409,43.3032304682277,-1.97717366423823,72,5,"Entire home/apt",102583389,"Basque Stay","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"22",1587488,43.3237915118844,-1.97739485289573,45,2,"Private room",8462790,"Maria Concepcion","InsideAirbnb,Santi Espinosa","Gros","Gros"
"23",7634132,43.3248338777208,-1.97638473446803,30,2,"Private room",11326417,"Jeferson","InsideAirbnb,Santi Espinosa","Gros","Gros"
"24",6400724,43.3032097453492,-2.00537471306064,50,2,"Private room",3771786,"Mari & Thomas","InsideAirbnb,Santi Espinosa","Ibaeta","Igara"
"25",5781526,43.3235049284895,-1.98426415290885,35,2,"Private room",29992891,"Brendon & Nick","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"26",3537475,43.3038599198525,-1.97575174304688,32,2,"Private room",17631675,"Rudy","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"27",13081587,43.3047889099352,-1.97745782097494,200,7,"Entire home/apt",72174065,"Irene Y Agustín","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"28",3152130,43.3119009597632,-1.97937647237785,160,8,"Entire home/apt",15707672,"The Rentals Collection","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"29",15478619,43.3223177699773,-1.97713991167153,31,2,"Private room",30110523,"Javier Ezequiel","InsideAirbnb,Santi Espinosa","Gros","Gros"
"30",14301590,43.3100828166831,-2.00085810104644,33,2,"Private room",86695703,"Hugo","InsideAirbnb,Santi Espinosa","Antiguo","Heriz - Aizgorri"
"31",14713642,43.3193798785546,-1.97546809009472,37,2,"Private room",48013502,"Urko","InsideAirbnb,Santi Espinosa","Egia","Atotxa"
"32",8135356,43.3238931347824,-1.98561799078165,120,3,"Entire home/apt",42960862,"Mai","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"33",7992362,43.3248964888512,-1.97364610007261,60,2,"Private room",37380080,"Rosario","InsideAirbnb,Santi Espinosa","Gros","Gros"
"34",6982731,43.3228763273139,-1.97054611853511,95,2,"Entire home/apt",25221342,"Mikel","InsideAirbnb,Santi Espinosa","Gros","Gros"
"35",1075192,43.3125075865861,-2.00065259835752,32,1,"Private room",5915555,"Concha","InsideAirbnb,Santi Espinosa","Antiguo","Matia"
"36",13570213,43.324341523876,-1.98484586478279,25,2,"Private room",790667,"Off Beat Guesthouse","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"37",15839410,43.3180242685697,-1.96833374397845,68,4,"Entire home/apt",102583389,"Basque Stay","InsideAirbnb,Santi Espinosa","Egia","Iruresoro"
"38",7624933,43.3247212191792,-1.98648680074447,150,4,"Entire home/apt",15707672,"The Rentals Collection","InsideAirbnb,Santi Espinosa","Centro","Monte Urgull"
"39",13528647,43.3231124750406,-1.96943905254924,75,2,"Private room",12747666,"Nuri Emil","InsideAirbnb,Santi Espinosa","Gros","Gros"
"40",10721038,43.325525281643,-1.98342947883119,120,2,"Entire home/apt",35700062,"Paulo","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"41",8296851,43.3228873055121,-1.98120050387225,150,4,"Entire home/apt",15707672,"The Rentals Collection","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"42",7150915,43.3169470372334,-1.98365976220857,35,2,"Private room",20659319,"Lu","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"43",1031210,43.3246113994514,-1.97180388769888,50,2,"Private room",5634854,"Juanjo Y Ara","InsideAirbnb,Santi Espinosa","Gros","Gros"
"44",3129265,43.3153767007644,-2.00008449699242,120,4,"Entire home/apt",15707672,"The Rentals Collection","InsideAirbnb,Santi Espinosa","Antiguo","Matia"
"45",6928338,43.324685204107,-1.9642722452563,58,2,"Private room",16228557,"Lourdes","InsideAirbnb,Santi Espinosa","Ategorrieta-Ulia","Ulia - Barren"
"46",13512473,43.3093449677486,-2.00400530995627,120,6,"Entire home/apt",73601251,"Eli Y Jon","InsideAirbnb,Santi Espinosa","Antiguo","Heriz - Aizgorri"
"47",1445649,43.3276747093987,-1.96953015865891,125,3,"Entire home/apt",7761111,"Isabel","InsideAirbnb,Santi Espinosa","Ategorrieta-Ulia","ATEGORRIETA- ULIA"
"48",13340414,43.3233930671646,-1.97871903757506,95,3,"Entire home/apt",3952766,"Jon","InsideAirbnb,Santi Espinosa","Gros","Gros"
"49",11644663,43.3157685745791,-1.97939996334007,120,4,"Entire home/apt",45278033,"Irene","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"50",6336199,43.3216299025479,-1.98519251479141,100,2,"Entire home/apt",32988222,"Jaione","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"51",15652398,43.3180642230985,-1.98532896576557,120,3,"Entire home/apt",15707672,"The Rentals Collection","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"52",4101647,43.3038806560675,-1.98316887383504,100,4,"Entire home/apt",14547732,"Iñigo","InsideAirbnb,Santi Espinosa","Aiete","Puio - Lanberri"
"53",4068944,43.3249354940648,-1.9691212705565,30,2,"Private room",19632477,"Ibon","InsideAirbnb,Santi Espinosa","Ategorrieta-Ulia","Manteo"
"54",7153003,43.3166796134929,-1.98504923314227,35,2,"Private room",20659319,"Lu","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"55",10083926,43.317855544827,-1.98180950183273,150,4,"Entire home/apt",15707672,"The Rentals Collection","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"56",5387741,43.3228641408757,-1.98299306522229,60,2,"Private room",27820050,"Carolina","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"57",13202920,43.321870291962,-1.98707512793677,60,2,"Private room",73815563,"Mª Pilar","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"58",12285403,43.3142841820952,-1.98063285859843,120,3,"Entire home/apt",66195608,"Joxean Y Eva","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
