"","id","url","longitude","latitude","found","revised","host.id","room_type","bedrooms","capacity","reviews","min_nights","price","barrio","umenores"
"1","onlyap599232738a46554f807af4491","https://www.only-apartments.es/_/639729",-1.970553,43.328139,"2018-03-31 17:54:29.301000","2018-04-18 17:06:47.451000","onlyap639729","Apartamento",NA,4,NA,2,NA,"Gros","Sag�es"
"2","onlyap599232738a46554f807af4492","https://www.only-apartments.es/_/917257",-1.97233289999997,43.3233048,"2018-04-17 11:33:34.072000","2018-04-24 10:03:21.616000","onlyap917257","Apartamento",NA,4,NA,2,NA,"Gros","Gros"
"3","onlyap599232738a46554f807af4493","https://www.only-apartments.es/_/917326",-1.97327971458435,43.3222273484079,"2018-04-17 11:38:17.702000","2018-04-18 20:56:46.311000","onlyap917326","Apartamento",NA,6,NA,3,NA,"Gros","Gros"
"4","onlyap599232738a46554f807af4494","https://www.only-apartments.es/_/917222",-1.97327971458435,43.3222273484079,"2018-04-17 11:38:17.703000","2018-04-18 20:57:39.094000","onlyap917222","Apartamento",NA,6,NA,3,NA,"Gros","Gros"
"5","onlyap599232738a46554f807af4495","https://www.only-apartments.es/_/917196",-1.97326099999998,43.3228412,"2018-04-17 11:35:54.371000","2018-04-18 18:41:21.210000","onlyap917196","Apartamento",NA,5,NA,2,NA,"Gros","Gros"
"6","onlyap599232738a46554f807af4496","https://www.only-apartments.es/_/917206",-1.9734052,43.3242564,"2018-04-17 11:33:34.066000","2018-04-24 09:15:46.802000","onlyap917206","Apartamento",NA,3,NA,1,NA,"Gros","Gros"
"7","onlyap599232738a46554f807af4497","https://www.only-apartments.es/_/917210",-1.97290469999996,43.3249969,"2018-04-17 11:35:54.372000","2018-04-18 18:41:31.939000","onlyap917210","Apartamento",NA,5,NA,2,NA,"Gros","Gros"
"8","onlyap599232738a46554f807af4498","https://www.only-apartments.es/_/917213",-1.97293349999995,43.3250182,"2018-04-17 11:35:54.362000","2018-04-18 18:40:06.451000","onlyap917213","Apartamento",NA,5,NA,2,NA,"Gros","Gros"
"9","onlyap599232738a46554f807af4499","https://www.only-apartments.es/_/917200",-1.97336440000004,43.3249801,"2018-04-17 11:38:17.700000","2018-04-18 20:54:41.354000","onlyap917200","Apartamento",NA,6,NA,2,NA,"Gros","Gros"
"10","onlyap599232738a46554f807af44910","https://www.only-apartments.es/_/677502",-1.9733661,43.3253651,"2018-03-31 17:55:27.544000","2018-04-18 22:35:41.765000","onlyap677502","Apartamento",NA,8,NA,2,NA,"Gros","Gros"
"11","onlyap599232738a46554f807af44911","https://www.only-apartments.es/_/643446",-1.9733661,43.3253651,"2018-03-31 17:55:27.546000","2018-04-18 22:29:29.701000","onlyap643446","Apartamento",NA,8,NA,2,NA,"Gros","Gros"
"12","onlyap599232738a46554f807af44912","https://www.only-apartments.es/_/677504",-1.9728499,43.3254379,"2018-03-31 17:55:27.547000","2018-04-18 22:34:05.501000","onlyap677504","Apartamento",NA,8,NA,2,NA,"Gros","Gros"
"13","onlyap599232738a46554f807af44913","https://www.only-apartments.es/_/917193",-1.9712677,43.3248895,"2018-04-17 11:40:14.872000","2018-04-18 22:29:24.995000","onlyap917193","Apartamento",NA,8,NA,3,NA,"Gros","Gros"
"14","onlyap599232738a46554f807af44914","https://www.only-apartments.es/_/513962",-1.9725776,43.3259393,"2018-03-31 17:54:40.511000","2018-04-18 18:11:23.138000","onlyap513962","Apartamento",NA,6,1,2,NA,"Gros","Gros"
"15","onlyap599232738a46554f807af44915","https://www.only-apartments.es/_/704754",-1.9725776,43.3259393,"2018-03-31 17:55:09.507000","2018-04-18 21:09:38.296000","onlyap704754","Apartamento",NA,6,NA,2,NA,"Gros","Gros"
"16","onlyap599232738a46554f807af44916","https://www.only-apartments.es/_/677507",-1.9725776,43.3259393,"2018-03-31 17:55:09.509000","2018-04-18 21:05:35.460000","onlyap677507","Apartamento",NA,6,NA,2,NA,"Gros","Gros"
"17","onlyap599232738a46554f807af44917","https://www.only-apartments.es/_/677506",-1.9725776,43.3259393,"2018-03-31 17:55:09.510000","2018-04-18 21:08:19.919000","onlyap677506","Apartamento",NA,6,NA,2,NA,"Gros","Gros"
"18","onlyap599232738a46554f807af44918","https://www.only-apartments.es/_/513977",-1.9726755,43.3258528,"2018-03-31 17:55:05.823000","2018-04-18 20:44:42.077000","onlyap513977","Apartamento",NA,6,NA,2,NA,"Gros","Gros"
"19","onlyap599232738a46554f807af44919","https://www.only-apartments.es/_/917360",-1.97532139999998,43.3250674,"2018-04-17 11:33:34.068000","2018-04-24 10:52:55.925000","onlyap917360","Apartamento",NA,4,NA,2,NA,"Gros","Gros"
"20","onlyap599232738a46554f807af44920","https://www.only-apartments.es/_/917276",-1.97575299999994,43.3249065,"2018-04-17 11:35:34.057000","2018-04-18 18:26:32.124000","onlyap917276","Apartamento",NA,5,NA,2,NA,"Gros","Gros"
