id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,reviews_20180912,lastreview_20180912,exists_20180912
airbnb599232778a46554f807af49f1,https://www.airbnb.com/rooms/8482514,-2.9234191906149043,43.23043002138774,2017-08-16 18:37:38.999000,2017-09-07 23:43:55.401000,airbnb44672813,private_room,1,2,11,2,55,0,0,0
airbnb599232778a46554f807af49f2,https://www.airbnb.com/rooms/1405167,-2.932887708164411,43.24845815162057,2017-08-17 08:00:45.699000,2018-05-29 14:57:38.165000,airbnb7174903,private_room,0,2,45,2,72,50,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f3,https://www.airbnb.com/rooms/17194754,-2.9374097464818947,43.25313442727329,2017-08-17 08:01:11.878000,2017-09-07 23:44:08.660000,airbnb48009998,entire_home,2,4,20,1,55,0,0,0
airbnb599232778a46554f807af49f4,https://www.airbnb.com/rooms/24282137,-2.9366395408038932,43.25301617413081,2018-05-25 04:23:55.799000,2018-05-29 14:54:55.531000,airbnb2900030,entire_home,2,2,1,1,96,16,2018-09-01 00:00:00,1
airbnb599232778a46554f807af49f5,https://www.airbnb.com/rooms/24637860,-2.9356368199286234,43.25310016832244,2018-05-25 04:24:06.457000,2018-05-29 14:58:49.217000,airbnb171181759,private_room,1,1,1,2,32,10,2018-09-01 00:00:00,1
airbnb599232778a46554f807af49f6,https://www.airbnb.com/rooms/6792544,-2.9341039177053454,43.252678586294984,2017-08-17 08:01:20.523000,2018-05-29 14:58:07.142000,airbnb35557036,entire_home,0,4,6,2,48,6,2016-01-01 00:00:00,1
airbnb599232778a46554f807af49f7,https://www.airbnb.com/rooms/3819164,-2.933569380151905,43.25291260103965,2017-08-17 08:01:00.078000,2018-05-29 14:56:22.194000,airbnb12336523,entire_home,3,4,298,1,78,324,2018-06-01 00:00:00,1
airbnb599232778a46554f807af49f8,https://www.airbnb.com/rooms/1318286,-2.933443634204594,43.25062546413718,2017-08-17 08:01:03.735000,2018-05-29 14:57:02.779000,airbnb7174903,private_room,0,2,86,2,60,95,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f9,https://www.airbnb.com/rooms/1346126,-2.9342777011012924,43.249726126805605,2018-05-07 02:37:21.042000,2018-05-29 14:55:47.080000,airbnb7174903,private_room,0,2,106,2,60,111,2016-07-01 00:00:00,1
airbnb599232778a46554f807af49f10,https://www.airbnb.com/rooms/6342565,-2.9321835870588018,43.25051819564122,2017-08-17 08:01:03.734000,2018-05-29 14:53:55.339000,airbnb33031656,private_room,0,2,106,1,47,139,2018-05-01 00:00:00,1
airbnb599232778a46554f807af49f11,https://www.airbnb.com/rooms/20791482,-2.9317413881923007,43.25282280355912,2018-05-07 02:37:21.042000,2018-05-29 14:58:43.171000,airbnb76072541,private_room,1,1,10,1,26,0,0,0
airbnb599232778a46554f807af49f12,https://www.airbnb.com/rooms/18531627,-2.931367954939172,43.2527285617083,2017-08-17 08:01:00.078000,2018-05-29 14:53:45.866000,airbnb128658986,private_room,1,2,68,2,42,85,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f13,https://www.airbnb.com/rooms/24541332,-2.9308483315763842,43.25192857860955,2018-05-25 04:24:03.999000,2018-05-29 14:57:47.629000,airbnb185386022,entire_home,2,4,1,2,180,1,2018-05-01 00:00:00,1
airbnb599232778a46554f807af49f14,https://www.airbnb.com/rooms/21654506,-2.929462454650366,43.251024838055784,2018-05-09 07:22:06.122000,2018-05-11 14:23:23.058000,airbnb148512835,private_room,0,2,3,1,31,0,0,0
airbnb599232778a46554f807af49f15,https://www.airbnb.com/rooms/5305118,-2.929135807333218,43.252832376603656,2017-08-17 08:01:07.716000,2018-05-29 14:57:15.022000,airbnb22917189,entire_home,3,5,17,4,144,18,2018-07-01 00:00:00,1
airbnb599232778a46554f807af49f16,https://www.airbnb.com/rooms/21656109,-2.9278084241282887,43.25146810939074,2018-05-09 07:22:06.122000,2018-05-11 14:23:04.181000,airbnb148512835,private_room,0,2,3,1,31,0,0,0
airbnb599232778a46554f807af49f17,https://www.airbnb.com/rooms/21652862,-2.927935838199349,43.25074776001804,2018-05-09 07:21:57.258000,2018-05-11 14:23:29.873000,airbnb148512835,private_room,0,2,2,1,34,0,0,0
airbnb599232778a46554f807af49f18,https://www.airbnb.com/rooms/23727993,-2.93069196516182,43.248077410640256,2018-05-07 02:37:21.042000,2018-05-29 14:54:05.405000,airbnb177867436,entire_home,3,3,11,2,66,29,2018-09-01 00:00:00,1
airbnb599232778a46554f807af49f19,https://www.airbnb.com/rooms/24696501,-2.931908285379221,43.246000896595866,2018-05-09 07:21:51.471000,2018-05-11 14:23:23.852000,airbnb186644111,private_room,1,3,1,1,306,1,2018-04-01 00:00:00,1
airbnb599232778a46554f807af49f20,https://www.airbnb.com/rooms/17336169,-2.9258138288404067,43.24599180705894,2017-08-17 08:00:52.878000,2017-09-07 23:45:03.297000,airbnb53835119,entire_home,3,4,11,2,75,0,0,0
airbnb599232778a46554f807af49f21,https://www.airbnb.com/rooms/10503635,-2.9245778491888235,43.2444507476402,2017-08-17 08:00:52.878000,2018-05-29 14:55:11.316000,airbnb50658602,private_room,0,2,30,2,48,50,2018-09-01 00:00:00,1
