"barrios","airbnb_2017_count","airbnb_2018_count","airbnb_ratio_2017","airbnb_ratio_2018","pos_airbnb_2018","pos_ratio_aribnb_2018","airbnb_dif_17_18","airbnb_evol_17_18","vut","Total.Viviendas.familiares","Total.establecimientos.colectivos","ratio_vut","airbnb_plazas_2017","airbnb_plazas_2018","habitantes","airbnb_plazas_dif_17_18","airbnb_plazas_evol_17_18","airbnb_ratio_plazas_2017","airbnb_ratio_plazas_2018","pos_airbnb_plazas_2018","pos_airbnb_ratio_plazas_2018","idealista_m2_2012","idealista_m2_2013","idealista_m2_2014","idealista_m2_2015","idealista_m2_2016","idealista_m2_2017","idealista_m2_dif_13_17","idealista_evol_13_17","idealista_evol_16_17"
"Aiete",71,69,1.21,1.17,7,9,-0.04,-3.31,14,5876,10,0.24,292,282,14381,-10,-3.42,2.03,1.96,7,9,10.9,10.22,10.48,10.25,10.84,12.12,1.9,18.6,11.8
"Altza",21,10,0.23,0.11,13,17,-0.12,-52.17,4,9053,4,0.04,65,36,20258,-29,-44.62,0.32,0.18,13,17,9.27,9.21,9.15,8.82,9.74,11.6,2.39,26,19.1
"Amara Berri",119,107,0.83,0.75,5,12,-0.08,-9.64,70,14319,6,0.49,433,422,30105,-11,-2.54,1.44,1.4,5,11,10.74,9.86,10.56,9.91,10.44,11.1,1.24,12.6,6.3
"Añorga",7,10,0.71,1.02,14,10,0.31,43.66,1,983,NA,0.1,27,28,2171,1,3.7,1.24,1.29,15,12,8.73,9.56,7.6,9.2,8.63,9.13,-0.43,-4.5,5.8
"Antiguo",158,168,2.1,2.24,3,6,0.14,6.67,100,7513,9,1.33,680,750,14660,70,10.29,4.64,5.12,3,7,69.98,11.11,11.6,11.34,12.83,11.44,0.33,3,-10.8
"Ategorrieta-Ulia",65,84,3.83,4.95,6,3,1.12,29.24,8,1696,13,0.47,230,328,4104,98,42.61,5.6,7.99,6,3,9.26,11.57,10.92,9.97,10.49,8.53,-3.04,-26.3,-18.7
"Centro",749,778,5.41,5.62,1,2,0.21,3.88,604,13854,51,4.36,3145,3224,21889,79,2.51,14.37,14.73,1,1,58.08,12.27,11.86,12.34,13.87,14.51,2.24,18.3,4.6
"Egia",110,115,1.55,1.62,4,7,0.0700000000000001,4.52,49,7101,8,0.69,388,424,14947,36,9.28,2.6,2.84,4,8,11.36,10.37,10.64,10.24,10.5,11.58,1.21,11.7,10.3
"Gros",332,341,3.3,3.38,2,5,0.0800000000000001,2.42,334,10075,4,3.32,1282,1355,18649,73,5.69,6.87,7.27,2,4,11.49,11.23,11.06,11.37,11.97,12.87,1.64,14.6,7.5
"Ibaeta",36,39,0.86,0.93,9,11,0.0700000000000001,8.14,25,4188,10,0.6,133,167,9724,34,25.56,1.37,1.72,8,10,17.42,10.91,11.48,10.94,10.6,11.5,0.59,5.4,8.5
"Igeldo",38,32,7.68,6.46,10,1,-1.22,-15.89,6,495,1,1.21,184,154,1083,-30,-16.3,16.99,14.22,9,2,13.03,11.48,9.91,9.94,6.72,15.02,3.54,30.8,123.5
"Intxaurrondo",46,47,0.64,0.65,8,13,0.01,1.56,10,7226,24,0.14,156,152,15548,-4,-2.56,1,0.98,10,13,9.68,9.91,10.05,9.59,9.02,9.55,-0.359999999999999,-3.6,5.9
"Loiola",7,10,0.33,0.46,15,15,0.13,39.39,5,2152,10,0.23,25,30,4911,5,20,0.51,0.61,14,15,10.69,9.69,10.21,10.03,10.26,9.95,0.26,2.7,-3
"Martutene",2,4,0.15,0.31,16,16,0.16,106.67,1,1304,2,0.08,5,10,2728,5,100,0.18,0.37,17,16,9.99,10.4,8.97,9.9,10.93,8.9,-1.5,-14.4,-18.6
"Miracruz-Bidebieta",13,19,0.32,0.47,12,14,0.15,46.87,5,4024,3,0.12,60,82,8891,22,36.67,0.67,0.92,12,14,9.94,9.07,10.04,9.84,12.24,13.01,3.94,43.4,6.3
"Miramon-Zorroaga",22,22,3.61,3.61,11,4,0,0,6,610,4,0.98,102,112,2021,10,9.8,5.05,5.54,11,6,10.5,11.96,11.99,14.44,14.25,13.04,1.08,9,-8.5
