cartodb_id,bar_ds_o,bar_barr,shape_area,shape_leng,count_vals,right_total_establecimientos_colectivos,right_total_viviendas_familiares,right_total,percent_turisticas
4,Aiete,1,2663806.71683,13759.5402919,57,10,5876,5886,0.9683995923
10,Altza,2,4980864.10963,12736.4070576,11,4,9053,9057,0.1214530198
6,Amara Berri,3,1445277.61106,8098.22875319,105,6,14319,14325,0.7329842932
16,Antiguo,4,1805673.24556,10404.3874768,124,9,7513,7522,1.64849774
7,Ategorrieta-Ulia,6,2804125.53741,13639.4256237,59,13,1696,1709,3.4523112932
5,Añorga,5,4873507.46398,11295.7641963,5,,983,983,0.508646999
2,Centro,7,1507618.11727,13839.4983383,437,51,13854,13905,3.1427544049
19,Egia,8,1196727.76516,6070.89651885,74,8,7101,7109,1.0409340273
11,Gros,9,545763.661527,4743.86388774,196,4,10075,10079,1.9446373648
14,Ibaeta,10,3884803.76247,13195.9296213,19,10,4188,4198,0.4525964745
20,Igeldo,11,10159449.9691,28680.0716374,30,1,495,496,6.0483870968
1,Intxaurrondo,12,2148304.08895,7208.86749126,42,24,7226,7250,0.5793103448
15,Loiola,13,1442575.89845,7464.30784988,5,10,2152,2162,0.2312673451
18,Martutene,14,3478781.25082,13112.3510903,2,2,1304,1306,0.1531393568
13,Miracruz-Bidebieta,15,1819392.92867,10485.6979042,10,3,4024,4027,0.2483238143
17,Miramon-Zorroaga,16,4912798.179,12935.3087914,13,4,610,614,2.1172638436
12,Zubieta,17,6909658.82287,18418.8546713,1,,154,154,0.6493506494
