"barriocal","2012","2013","2014","2015","2016","2017","dif13_17","evol13_17","evol16_17"
"Aiete",10.9,10.22,10.48,10.25,10.84,12.12,1.9,18.6,11.8
"Altza",9.27,9.21,9.15,8.82,9.74,11.6,2.39,26,19.1
"Amara Berri",10.74,9.86,10.56,9.91,10.44,11.1,1.24,12.6,6.3
"Añorga",8.73,9.56,7.6,9.2,8.63,9.13,-0.43,-4.5,5.8
"Antiguo",69.98,11.11,11.6,11.34,12.83,11.44,0.33,3,-10.8
"Ategorrieta-Ulia",9.26,11.57,10.92,9.97,10.49,8.53,-3.04,-26.3,-18.7
"Centro",58.08,12.27,11.86,12.34,13.87,14.51,2.24,18.3,4.6
"Egia",11.36,10.37,10.64,10.24,10.5,11.58,1.21,11.7,10.3
"Gros",11.49,11.23,11.06,11.37,11.97,12.87,1.64,14.6,7.5
"Ibaeta",17.42,10.91,11.48,10.94,10.6,11.5,0.59,5.4,8.5
"Igeldo",13.03,11.48,9.91,9.94,6.72,15.02,3.54,30.8,123.5
"Intxaurrondo",9.68,9.91,10.05,9.59,9.02,9.55,-0.359999999999999,-3.6,5.9
"Loiola",10.69,9.69,10.21,10.03,10.26,9.95,0.26,2.7,-3
"Martutene",9.99,10.4,8.97,9.9,10.93,8.9,-1.5,-14.4,-18.6
"Miracruz-Bidebieta",9.94,9.07,10.04,9.84,12.24,13.01,3.94,43.4,6.3
"Miramon-Zorroaga",10.5,11.96,11.99,14.44,14.25,13.04,1.08,9,-8.5
"Zubieta",NA,NA,10.07,9.37,8.54,9.68,NA,NA,13.3
NA,11.57,8.99,9.66,10.92,11.13,10.45,1.46,16.2,-6.1
