host_id,host_name,alojamientos,sum_accomodates
15707672,The Rentals Collection,55,215
98419892,FeelFree Rentals,51,254
3952766,Jon,26,93
5254782,Always Easy,23,95
4614604,Apartamentos Donostia,18,104
790667,Off Beat Guesthouse,16,40
12954077,Aritz,16,86
13367653,Selectedrentals,15,67
6598471,People Rentals,14,73
25039584,Sandro,13,72
18192487,Josu,11,41
98189424,Iberorent Apartments,11,57
102583389,Basque Stay,11,60
149691,Alex,10,29
50920106,Josu,9,43
2470030,Vanesa,8,44
73815563,Eli Y Jon,7,17
2035832,Iñigo,6,25
2625306,Terese,6,14
5173315,"Casa Rural Mar Y Mar Agroturismo, S",6,22
12747666,Nuri Emil,6,12
13725999,Masa Y Borja,6,38
29992891,Rocío,6,12
48013502,Pablo Y Eva,6,12
8703392,Jorge,5,9
9893159,Joseba,5,12
13343635,Andrea,5,16
33064793,Pablo,5,11
37985139,Yvan,5,21
49473712,Maria Mercedes,5,20
2015934,Jon,4,10
2849717,Kelly,4,8
4402649,SSHA Guesthouse,4,9
5172999,Juan Maria,4,22
15659580,Eva,4,8
16228557,Lourdes,4,9
17097096,Maria Y David,4,8
38990075,Amaia,4,18
59754218,Roberto & Lourdes,4,14
63629203,Gonzalo,4,8
76289581,Juan,4,9
100340746,Koisi,4,9
102990934,Ana,4,8
109977260,Donosti,4,28
349085,May,3,7
1580586,Maria,3,9
1589633,Emy,3,24
4271408,Olatu Guest,3,7
5634854,Juanjo Y Ara,3,6
8517912,Paula,3,11
10650761,Andrey,3,28
10725302,"Aizlur, S.L.",3,14
12465495,Garazi,3,8
13159858,Josse,3,7
19156553,Dacian,3,10
19632477,Ursule Aurelien,3,5
20367848,Giulia,3,12
22467824,Arantxa,3,8
34717423,Ana,3,13
37032982,Jose Martin,3,7
37814558,Fanny,3,3
39152861,Pedro & Eva,3,6
39175346,Ismael,3,6
39990119,Kioko,3,13
40355932,Patricia,3,10
42591511,Oier,3,10
49871447,Manuel,3,8
63853491,Ibaia,3,28
81234909,María,3,6
85246818,Coralan San Sebastian,3,18
93636957,Daniel,3,9
99915435,Igor,3,6
938570,Bettina,2,2
1823300,Jon,2,6
2281404,Ana Isabel,2,4
2676178,Columba,2,4
3358229,Asier,2,11
3425634,Olga,2,8
3635738,Luis,2,5
4096200,Ali,2,2
5093525,Concepción,2,9
5361990,Beñat,2,4
6520043,Monica,2,7
7770643,Elías,2,10
8462790,Maria Concepcion,2,5
8603350,Agurtxo,2,4
9721328,Albert,2,9
11160829,Dawamoru,2,5
11326417,Jeferson,2,6
12058299,Pilar,2,9
