estado,tipo,dirección,x,y
VUT_Favorable,"Viviendas de uso turístico","31 de Agosto    5,    01","582303.39","4797334.79"
VUT_Favorable,"Viviendas de uso turístico","31 de Agosto    9  1º","582295.02","4797330.2"
VUT_Favorable,"Viviendas de uso turístico","31 de Agosto   10  1º D","582337.22","4797366.47"
VUT_Favorable,"Viviendas de uso turístico","31 de Agosto   10,    01 - Iz","582337.22","4797366.47"
VUT_Favorable,"Viviendas de uso turístico","31 de Agosto   20,    01 - A","582314.78","4797351.98"
VUT_Favorable,"Viviendas de uso turístico","31 de Agosto   26,    01","582292.92","4797338.35"
VUT_Tramitacion,"Viviendas de uso turístico","31 de Agosto   38,    01 - Cn","582237.36","4797307.33"
VUT_Favorable,"Viviendas de uso turístico","31 de Agosto   38,    01 - Dr","582237.36","4797307.33"
VUT_Tramitacion,"Viviendas de uso turístico","31 de Agosto   38,    01 - Iz","582237.36","4797307.33"
VUT_Favorable,"Viviendas de uso turístico","31 de Agosto   40  1º-Local 2","582233.18","4797305.3"
VUT_Favorable,"Viviendas de uso turístico","31 de Agosto   40,    01 - 001","582233.18","4797305.3"
VUT_Favorable,"Viviendas de uso turístico","31 de Agosto   44  1º Izda.","582203.67","4797290.84"
VUT_Tramitacion,"Viviendas de uso turístico","Agirre Miramon    1-05,    07 - A","582848.59","4797143.95"
VUT_Tramitacion,"Viviendas de uso turístico","Agirre Miramon    4,    04 - 3","582869.06","4797137.37"
VUT_Tramitacion,"Viviendas de uso turístico","Agirre Miramon    7,    02 - Iz","582883.21","4797161.66"
VUT_Tramitacion,"Viviendas de uso turístico","Agirre Miramon    8,    06 - Dr","582889.05","4797147.64"
VUT_Favorable,"Viviendas de uso turístico","Aintzieta,Ps de   13,    01 - C  Arevalo","584141.16","4795173.97"
VUT_Tramitacion,"Viviendas de uso turístico","Aintzieta,Ps de   13,    02 - D  Arevalo","584141.16","4795173.97"
VUT_Tramitacion,"Viviendas de uso turístico","Aintzieta,Ps de   31,    01 - E  Ancieta Bat","584341.45","4795071.42"
VUT_Favorable,"Viviendas de uso turístico","Aizkorri   26,    01 - D  Ederrena","580812.12","4795924.86"
VUT_Favorable,"Viviendas de uso turístico","Aizkorri   96  Atalaya  Bajo","580685.85","4795633.72"
VUT_Favorable,"Viviendas de uso turístico","Alcalde J.Elosegi,Av  109  1º C","585661.46","4796943.36"
VUT_Favorable,"Viviendas de uso turístico","Aldakoenea   20,    01 - Dr","583284.26","4796895.83"
VUT_Tramitacion,"Viviendas de uso turístico","Aldakoenea   61,    01 - B  Latxaga","583588.85","4796817.2"
VUT_Tramitacion,"Viviendas de uso turístico","Aldamar    5,    03 - Iz","582398.14","4797436.36"
VUT_Tramitacion,"Viviendas de uso turístico","Aldamar   12,    03 - Iz","582503.77","4797267.51"
VUT_Tramitacion,"Viviendas de uso turístico","Aldamar   14,    04 - Iz","582502.5","4797269.87"
VUT_Favorable,"Viviendas de uso turístico","Aldamar   16,    01  Local 1","582496.23","4797281.81"
VUT_Favorable,"Viviendas de uso turístico","Aldamar   24,    01 - Dr","582471.27","4797329.19"
VUT_Tramitacion,"Viviendas de uso turístico","Aldamar   24,    06 - Iz","582471.27","4797329.19"
VUT_Tramitacion,"Viviendas de uso turístico","Aldamar   30,    06 - C","582447.54","4797374.54"
VUT_Favorable,"Viviendas de uso turístico","Alfonso XIII,Pz de    2,    01 - Di  Alfonso XIII, 2-1 A","581022.8","4796210.01"
VUT_Tramitacion,"Viviendas de uso turístico","Alfonso XIII,Pz de    2,    04 - Ii","581022.8","4796210.01"
VUT_Tramitacion,"Viviendas de uso turístico","Alkiza,Pz de    5","581863.23","4795384.5"
VUT_Favorable,"Viviendas de uso turístico","Alto de Amara    3  Tavira  Entlo. A","582434.68","4796066.84"
VUT_Favorable,"Viviendas de uso turístico","Alto de Zorroaga   92","583925.26","4794375.77"
VUT_Favorable,"Viviendas de uso turístico","Amara    5,    01 - Ext  1.Ext","582451.01","4796142.39"
VUT_Favorable,"Viviendas de uso turístico","Amara   14,    01 - A","582431.16","4796152.6"
VUT_Tramitacion,"Viviendas de uso turístico","Amara   16,    03 - C","582419.88","4796160.51"
VUT_Tramitacion,"Viviendas de uso turístico","Amara   16,    08 - A","582419.88","4796160.51"
VUT_Tramitacion,"Viviendas de uso turístico","Amara   20,    01 - C","582380.66","4796165.53"
VUT_Favorable,"Viviendas de uso turístico","Amara   24  1º C","582350.5","4796168.45"
VUT_Tramitacion,"Viviendas de uso turístico","Ametzagaña   16,    02 - Iz","583477.93","4796459.62"
VUT_Tramitacion,"Viviendas de uso turístico","Amezketa,Cl de los    4  10","582760.08","4795083.19"
