estado,tipo,dirección,longitude,latitude
VUT_Favorable,Viviendas de uso turístico,"31 de Agosto 5, 01",-1.9848933068,43.3243516444
VUT_Favorable,Viviendas de uso turístico,31 de Agosto 9  1º,-1.9849972122,43.324311236
VUT_Favorable,Viviendas de uso turístico,31 de Agosto 10  1º D,-1.98447137,43.3246331609
VUT_Favorable,Viviendas de uso turístico,"31 de Agosto 10, 01 - Iz",-1.98447137,43.3246331609
VUT_Favorable,Viviendas de uso turístico,"31 de Agosto 20, 01 - A",-1.9847502699,43.324505162
VUT_Favorable,Viviendas de uso turístico,"31 de Agosto 26, 01",-1.9850218873,43.3243848416
VUT_Tramitacion,Viviendas de uso turístico,"31 de Agosto 38, 01 - Cn",-1.9857116903,43.3241116419
VUT_Favorable,Viviendas de uso turístico,"31 de Agosto 38, 01 - Dr",-1.9857116903,43.3241116419
VUT_Tramitacion,Viviendas de uso turístico,"31 de Agosto 38, 01 - Iz",-1.9857116903,43.3241116419
VUT_Favorable,Viviendas de uso turístico,31 de Agosto 40  1º-Local 2,-1.9857635412,43.3240938226
VUT_Favorable,Viviendas de uso turístico,"31 de Agosto 40, 01 - 001",-1.9857635412,43.3240938226
VUT_Favorable,Viviendas de uso turístico,31 de Agosto 44  1º Izda.,-1.9861296169,43.3239668635
VUT_Tramitacion,Viviendas de uso turístico,"Agirre Miramon 1-05, 07 - A",-1.9781988102,43.3225736119
VUT_Tramitacion,Viviendas de uso turístico,"Agirre Miramon 4, 04 - 3",-1.977947379,43.3225121157
VUT_Tramitacion,Viviendas de uso turístico,"Agirre Miramon 7, 02 - Iz",-1.9777692225,43.3227292426
VUT_Tramitacion,Viviendas de uso turístico,"Agirre Miramon 8, 06 - Dr",-1.9776993235,43.3226023748
VUT_Favorable,Viviendas de uso turístico,"Aintzieta, Ps de 13, 01 - C  Arevalo",-1.9625614023,43.3046941368
VUT_Tramitacion,Viviendas de uso turístico,"Aintzieta, Ps de 13, 02 - D  Arevalo",-1.9625614023,43.3046941368
VUT_Tramitacion,Viviendas de uso turístico,"Aintzieta, Ps de 31, 01 - E  Ancieta Bat",-1.9601080164,43.3037484429
VUT_Favorable,Viviendas de uso turístico,"Aizkorri 26, 01 - D  Ederrena",-2.0034909357,43.3118194783
VUT_Favorable,Viviendas de uso turístico,Aizkorri 96  Atalaya  Bajo,-2.0050905239,43.309211829
VUT_Favorable,Viviendas de uso turístico,"Alcalde J.Elosegi,Av  109  1º C",-1.943543672,43.3204525295
