estado,tipo,dirección,x,y,longitude,latitude
VUT_Favorable,Viviendas de uso turístico,"31 de Agosto 5, 01",582303.39,4797334.79,-1.9848933068,43.3243516444
VUT_Favorable,Viviendas de uso turístico,31 de Agosto 9 1º,582295.02,4797330.2,-1.9849972122,43.324311236
VUT_Favorable,Viviendas de uso turístico,31 de Agosto 10 1º D,582337.22,4797366.47,-1.98447137,43.3246331609
VUT_Favorable,Viviendas de uso turístico,"31 de Agosto 10, 01 - Iz",582337.22,4797366.47,-1.98447137,43.3246331609
VUT_Favorable,Viviendas de uso turístico,"31 de Agosto 20, 01 - A",582314.78,4797351.98,-1.9847502699,43.324505162
VUT_Favorable,Viviendas de uso turístico,"31 de Agosto 26, 01",582292.92,4797338.35,-1.9850218873,43.3243848416
VUT_Tramitacion,Viviendas de uso turístico,"31 de Agosto 38, 01 - Cn",582237.36,4797307.33,-1.9857116903,43.3241116419
VUT_Favorable,Viviendas de uso turístico,"31 de Agosto 38, 01 - Dr",582237.36,4797307.33,-1.9857116903,43.3241116419
VUT_Tramitacion,Viviendas de uso turístico,"31 de Agosto 38, 01 - Iz",582237.36,4797307.33,-1.9857116903,43.3241116419
VUT_Favorable,Viviendas de uso turístico,31 de Agosto 40 1º-Local 2,582233.18,4797305.3,-1.9857635412,43.3240938226
VUT_Favorable,Viviendas de uso turístico,"31 de Agosto 40, 01 - 001",582233.18,4797305.3,-1.9857635412,43.3240938226
VUT_Favorable,Viviendas de uso turístico,31 de Agosto 44 1º Izda.,582203.67,4797290.84,-1.9861296169,43.3239668635
VUT_Tramitacion,Viviendas de uso turístico,"Agirre Miramon 1-05, 07 - A",582848.59,4797143.95,-1.9781988102,43.3225736119
VUT_Tramitacion,Viviendas de uso turístico,"Agirre Miramon 4, 04 - 3",582869.06,4797137.37,-1.977947379,43.3225121157
VUT_Tramitacion,Viviendas de uso turístico,"Agirre Miramon 7, 02 - Iz",582883.21,4797161.66,-1.9777692225,43.3227292426
VUT_Tramitacion,Viviendas de uso turístico,"Agirre Miramon 8, 06 - Dr",582889.05,4797147.64,-1.9776993235,43.3226023748
VUT_Favorable,Viviendas de uso turístico,"Aintzieta,Ps de 13, 01 - C Arevalo",584141.16,4795173.97,-1.9625614023,43.3046941368
VUT_Tramitacion,Viviendas de uso turístico,"Aintzieta,Ps de 13, 02 - D Arevalo",584141.16,4795173.97,-1.9625614023,43.3046941368
VUT_Tramitacion,Viviendas de uso turístico,"Aintzieta,Ps de 31, 01 - E Ancieta Bat",584341.45,4795071.42,-1.9601080164,43.3037484429
VUT_Favorable,Viviendas de uso turístico,"Aizkorri 26, 01 - D Ederrena",580812.12,4795924.86,-2.0034909357,43.3118194783
VUT_Favorable,Viviendas de uso turístico,Aizkorri 96 Atalaya Bajo,580685.85,4795633.72,-2.0050905239,43.309211829
VUT_Favorable,Viviendas de uso turístico,"Alcalde J.Elosegi,Av 109 1º C",585661.46,4796943.36,-1.943543672,43.3204525295
VUT_Favorable,Viviendas de uso turístico,"Aldakoenea 20, 01 - Dr",583284.26,4796895.83,-1.9728640187,43.3202916293
VUT_Tramitacion,Viviendas de uso turístico,"Aldakoenea 61, 01 - B Latxaga",583588.85,4796817.2,-1.969120108,43.3195499206
VUT_Tramitacion,Viviendas de uso turístico,"Aldamar 5, 03 - Iz",582398.14,4797436.36,-1.983709622,43.3252557184
VUT_Tramitacion,Viviendas de uso turístico,"Aldamar 12, 03 - Iz",582503.77,4797267.51,-1.98243237,43.3237239528
VUT_Tramitacion,Viviendas de uso turístico,"Aldamar 14, 04 - Iz",582502.5,4797269.87,-1.9824476766,43.3237453396
VUT_Favorable,Viviendas de uso turístico,"Aldamar 16, 01 Local 1",582496.23,4797281.81,-1.982523202,43.3238535252
VUT_Favorable,Viviendas de uso turístico,"Aldamar 24, 01 - Dr",582471.27,4797329.19,-1.9828238837,43.3242828327
VUT_Tramitacion,Viviendas de uso turístico,"Aldamar 24, 06 - Iz",582471.27,4797329.19,-1.9828238837,43.3242828327
VUT_Tramitacion,Viviendas de uso turístico,"Aldamar 30, 06 - C",582447.54,4797374.54,-1.9831097063,43.3246937282
VUT_Favorable,Viviendas de uso turístico,"Alfonso XIII,Pz de 2, 01 - Di Alfonso XIII, 2-1 A",581022.8,4796210.01,-2.0008513282,43.314364086
VUT_Tramitacion,Viviendas de uso turístico,"Alfonso XIII,Pz de 2, 04 - Ii",581022.8,4796210.01,-2.0008513282,43.314364086
VUT_Tramitacion,Viviendas de uso turístico,"Alkiza,Pz de 5",581863.23,4795384.5,-1.9906119842,43.3068408586
VUT_Favorable,Viviendas de uso turístico,Alto de Amara 3 Tavira Entlo. A,582434.68,4796066.84,-1.9834646047,43.3129216969
VUT_Favorable,Viviendas de uso turístico,Alto de Zorroaga 92,583925.26,4794375.77,-1.9653448471,43.2975319388
VUT_Favorable,Viviendas de uso turístico,"Amara 5, 01 - Ext 1.Ext",582451.01,4796142.39,-1.9832519235,43.313600097
VUT_Favorable,Viviendas de uso turístico,"Amara 14, 01 - A",582431.16,4796152.6,-1.9834951346,43.313694195
VUT_Tramitacion,Viviendas de uso turístico,"Amara 16, 03 - C",582419.88,4796160.51,-1.9836330262,43.3137666461
VUT_Tramitacion,Viviendas de uso turístico,"Amara 16, 08 - A",582419.88,4796160.51,-1.9836330262,43.3137666461
VUT_Tramitacion,Viviendas de uso turístico,"Amara 20, 01 - C",582380.66,4796165.53,-1.984115843,43.3138161383
VUT_Favorable,Viviendas de uso turístico,Amara 24 1º C,582350.5,4796168.45,-1.9844872685,43.3138457301
VUT_Tramitacion,Viviendas de uso turístico,"Ametzagaña 16, 02 - Iz",583477.93,4796459.62,-1.9705421954,43.3163429007
VUT_Tramitacion,Viviendas de uso turístico,"Amezketa,Cl de los 4 10",582760.08,4795083.19,-1.9796007578,43.3040299967
VUT_Tramitacion,Viviendas de uso turístico,"Amezketa,Cl de los 4, 09 - D",582760.08,4795083.19,-1.9796007578,43.3040299967
VUT_Tramitacion,Viviendas de uso turístico,"Amezketa,Cl de los 4, Bh (10)",582760.08,4795083.19,-1.9796007578,43.3040299967
VUT_Tramitacion,Viviendas de uso turístico,"Amezketa,Cl de los 15, 07 - B",582649.72,4795024.36,-1.9809700896,43.3035124692
VUT_Tramitacion,Viviendas de uso turístico,Amezti 58 Villa Lamperna,578842.38,4796548.49,-2.0276871641,43.3176432243
VUT_Tramitacion,Viviendas de uso turístico,"Andia 5, 04 - Iz",582428.3,4796864.7,-1.9834235165,43.3201056658
VUT_Tramitacion,Viviendas de uso turístico,"Andia 7, 04 - B",582412.78,4796856.43,-1.9836161341,43.3200329106
VUT_Tramitacion,Viviendas de uso turístico,"Andia 7, 04 - C",582412.78,4796856.43,-1.9836161341,43.3200329106
VUT_Tramitacion,Viviendas de uso turístico,"Angela Figuera,Pz 4, 03 - B",580703.03,4795047.07,-2.0049648779,43.3039282322
VUT_Tramitacion,Viviendas de uso turístico,"Angela Figuera,Pz 5, 03 - A",580725.95,4795018.06,-2.004686587,43.3036645894
VUT_Tramitacion,Viviendas de uso turístico,Arrasate 1 1º A,582745.62,4796745.65,-1.979528602,43.3189989936
VUT_Tramitacion,Viviendas de uso turístico,Arrasate 1 1º C,582745.62,4796745.65,-1.979528602,43.3189989936
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 1, 01 1ºa",582745.62,4796745.65,-1.979528602,43.3189989936
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 1, 01 C",582745.62,4796745.65,-1.979528602,43.3189989936
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 1, 04 - Dr",582745.62,4796745.65,-1.979528602,43.3189989936
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 1, 04 - Iz",582745.62,4796745.65,-1.979528602,43.3189989936
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 1, 05 - Dr (5-Iz)",582745.62,4796745.65,-1.979528602,43.3189989936
VUT_Favorable,Viviendas de uso turístico,"Arrasate 7, 01 - Iz",582718.98,4796731.53,-1.9798592193,43.3188747995
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 9, 01 - E",582658.64,4796699.07,-1.9806081392,43.3185891911
VUT_Favorable,Viviendas de uso turístico,"Arrasate 9, 01 - H",582658.64,4796699.07,-1.9806081392,43.3185891911
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 12, 04 - B",582658.06,4796712.89,-1.9806132108,43.3187136785
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 12, 06 - C",582658.06,4796712.89,-1.9806132108,43.3187136785
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 12, 06 - D",582658.06,4796712.89,-1.9806132108,43.3187136785
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 14, 06 - Iz",582608.9,4796686.83,-1.9812233064,43.3184844575
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 17, 06 - Dr",582610.59,4796673.79,-1.9812044294,43.3183668706
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 22, 07 - Dr",582543.64,4796652.3,-1.9820331929,43.3181807435
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 23, 01 - B",582555.76,4796644.86,-1.981884865,43.3181124297
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 25, 02 - Iz",582545.33,4796639.34,-1.9820143023,43.318063877
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 26, 03 - Dr",582532.98,4796646.53,-1.9821655038,43.3181299651
VUT_Favorable,Viviendas de uso turístico,Arrasate 31 1-Dcha,582490.32,4796610.39,-1.9826969537,43.3178092708
VUT_Favorable,Viviendas de uso turístico,"Arrasate 33, 01 - Dr",582487.38,4796608.84,-1.9827334382,43.3177956383
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 35, 04 - Dr",582472.03,4796600.78,-1.9829239215,43.3177247561
VUT_Favorable,Viviendas de uso turístico,"Arrasate 47, 01",582389.78,4796559.13,-1.9839443514,43.3173587886
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 47, 05 - Iz",582389.78,4796559.13,-1.9839443514,43.3173587886
VUT_Favorable,Viviendas de uso turístico,"Arrasate 48, 01 - Dr",582342.44,4796545.37,-1.9845301357,43.3172400893
VUT_Favorable,Viviendas de uso turístico,"Arrasate 48, 01 - Iz",582342.44,4796545.37,-1.9845301357,43.3172400893
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 48, 02 - Id",582342.44,4796545.37,-1.9845301357,43.3172400893
VUT_Favorable,Viviendas de uso turístico,"Arriberri,Gr 15, 01 - C",586945.39,4796557.24,-1.9277728968,43.316828947
VUT_Favorable,Viviendas de uso turístico,"Arriola,Ps de 15, 01 - E",580098.7,4795738.4,-2.0123141468,43.3102170317
VUT_Favorable,Viviendas de uso turístico,"Arriola,Ps de 19, 01 - E",580049.44,4795746.74,-2.0129202612,43.310297362
VUT_Tramitacion,Viviendas de uso turístico,"Arritxulo,Cm de 40",577806.75,4795697.17,-2.040577754,43.31008636
VUT_Tramitacion,Viviendas de uso turístico,"Arroka 2, 01 - C",582491.33,4796240.26,-1.982740094,43.314476817
VUT_Tramitacion,Viviendas de uso turístico,"Arroka 2, 03 - D",582491.33,4796240.26,-1.982740094,43.314476817
VUT_Tramitacion,Viviendas de uso turístico,"Arroka 2, 04 - A",582491.33,4796240.26,-1.982740094,43.314476817
VUT_Favorable,Viviendas de uso turístico,"Arroka 3, 01 - 003 (1º C)",582485.09,4796227.84,-1.9828188972,43.3143656819
VUT_Tramitacion,Viviendas de uso turístico,"Ategorrieta,Av de 3, Sm - Dcn",583430.5,4797136.48,-1.9710241742,43.3224420228
VUT_Tramitacion,Viviendas de uso turístico,"Ategorrieta,Av de 25, 00 - Iz (Entresuelo Izquierda)",583613.68,4797128.3,-1.9687665596,43.3223480318
VUT_Tramitacion,Viviendas de uso turístico,"Ategorrieta,Av de 73, 06 - B Leku Eder Berri",584292.54,4797109.02,-1.9603982764,43.3220986638
VUT_Tramitacion,Viviendas de uso turístico,"Ategorrieta,Av de 81, 03 - Dr Toki Alai B",584324.75,4797087.28,-1.9600044253,43.3218993253
VUT_Favorable,Viviendas de uso turístico,Autonomia 3 1º Dcha.,582519.21,4796137.45,-1.9824117847,43.3135481429
VUT_Tramitacion,Viviendas de uso turístico,"Autonomia 8, 03 - C",582536.01,4796094.4,-1.9822111158,43.3131587131
VUT_Tramitacion,Viviendas de uso turístico,"Autonomia 22, 03 - A",582573.13,4795935.32,-1.9817773564,43.3117224147
VUT_Tramitacion,Viviendas de uso turístico,"Autonomia 25, 01 - C",582578.13,4795847.17,-1.9817289611,43.3109282361
VUT_Favorable,Viviendas de uso turístico,Azpeitia 2 1º C,582684.39,4795739.11,-1.9804351364,43.3099436818
VUT_Tramitacion,Viviendas de uso turístico,"Azpeitia 3, 01 - A",582670.16,4795714.55,-1.9806142722,43.3097241276
VUT_Tramitacion,Viviendas de uso turístico,"Azpeitia 3, 08 - A",582670.16,4795714.55,-1.9806142722,43.3097241276
VUT_Tramitacion,Viviendas de uso turístico,"Azpeitia 9, 02 - D",582623.98,4795707.19,-1.9811847251,43.3096629374
VUT_Tramitacion,Viviendas de uso turístico,"Balleneros 4, 02 - D",583146.29,4795334.55,-1.974801654,43.306250456
VUT_Tramitacion,Viviendas de uso turístico,"Balleneros 6, 02 - C",583146.89,4795323.88,-1.9747958716,43.3061543259
VUT_Tramitacion,Viviendas de uso turístico,"Barcelona,Av de 10, 04 - B",583412.52,4795679.6,-1.9714671584,43.3093275261
VUT_Tramitacion,Viviendas de uso turístico,"Barcelona,Av de 16, 02 - A",583408.47,4795742.04,-1.9715076101,43.3098901316
VUT_Tramitacion,Viviendas de uso turístico,"Barcelona,Av de 23, 01 - A",583359.32,4795739.19,-1.9721140051,43.3098699203
VUT_Favorable,Viviendas de uso turístico,"Barcelona,Av de 43 1ºb",583342.96,4795987.89,-1.9722779742,43.3121108158
VUT_Tramitacion,Viviendas de uso turístico,"Batxillardegi,Gr 10, 03 - A",583810.52,4795664.98,-1.966562561,43.309151668
VUT_Favorable,Viviendas de uso turístico,"Baztan 16, En - 003",583563.71,4796765.74,-1.9694379351,43.3190894134
VUT_Favorable,Viviendas de uso turístico,Belizalde 14 1º Izda.,582112.96,4795728.31,-1.9874818572,43.3099090342
VUT_Tramitacion,Viviendas de uso turístico,"Bengoetxea 1, 03 - Iza",582583,4797060.41,-1.9814864831,43.3218507022
VUT_Tramitacion,Viviendas de uso turístico,"Bengoetxea 1, 03 - Izb",582583,4797060.41,-1.9814864831,43.3218507022
VUT_Tramitacion,Viviendas de uso turístico,"Bengoetxea 3, 01 - Ii 1º Izda. Izda.",582567.08,4797051.92,-1.9816840742,43.3217760135
VUT_Tramitacion,Viviendas de uso turístico,"Bengoetxea 3, 04 - Dd",582567.08,4797051.92,-1.9816840742,43.3217760135
VUT_Tramitacion,Viviendas de uso turístico,"Bentaberri,Pz de 1, Bh 7º Ctr",580698.37,4795980.41,-2.0048852393,43.3123318191
VUT_Tramitacion,Viviendas de uso turístico,"Berabera,Ps de 87.G",581498.78,4795303.6,-1.995117036,43.3061520633
VUT_Favorable,Viviendas de uso turístico,"Bergara 2, 01 - D",582641.29,4796821.52,-1.9808036473,43.3196935346
VUT_Favorable,Viviendas de uso turístico,Bergara 11 1º A,582687.32,4796767.21,-1.9802442362,43.3191995137
VUT_Favorable,Viviendas de uso turístico,"Bergara 16, 01 - A",582698.8,4796712.07,-1.9801109832,43.3187018173
VUT_Favorable,Viviendas de uso turístico,"Bergara 16, 01 - B",582698.8,4796712.07,-1.9801109832,43.3187018173
VUT_Favorable,Viviendas de uso turístico,"Bergara 16, 02 - B",582698.8,4796712.07,-1.9801109832,43.3187018173
VUT_Tramitacion,Viviendas de uso turístico,"Bergara 16, 03 - A",582698.8,4796712.07,-1.9801109832,43.3187018173
VUT_Tramitacion,Viviendas de uso turístico,"Bergara 16, 03 - B",582698.8,4796712.07,-1.9801109832,43.3187018173
VUT_Tramitacion,Viviendas de uso turístico,"Bergara 18, 02 - Dr",582707.29,4796696.33,-1.9800086666,43.318559174
VUT_Tramitacion,Viviendas de uso turístico,"Bergara 18, 04 - A",582707.29,4796696.33,-1.9800086666,43.318559174
VUT_Favorable,Viviendas de uso turístico,"Berio,Ps de 29 Bajo Local Bc",579809.05,4795347.65,-2.0159420231,43.3067297864
VUT_Favorable,Viviendas de uso turístico,"Bermingham 1-Dr, 01 - Dr",583229.51,4797456.93,-1.973454077,43.3253493483
VUT_Favorable,Viviendas de uso turístico,"Bermingham 1-Dr, 01 - Iz",583229.51,4797456.93,-1.973454077,43.3253493483
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 5, 01 - Dr",583266.96,4797418.78,-1.9729980313,43.3250017327
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 5, 03 - Dr",583266.96,4797418.78,-1.9729980313,43.3250017327
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 6, 01 - Dd",583260.52,4797408.03,-1.9730790792,43.3249056622
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 6, 05 - Ii",583260.52,4797408.03,-1.9730790792,43.3249056622
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 6, 06 - Id",583260.52,4797408.03,-1.9730790792,43.3249056622
VUT_Favorable,Viviendas de uso turístico,"Bermingham 7, 01 - Dr",583269.4,4797416.32,-1.9729683146,43.3249793148
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 11, 04 - Dr",583286.61,4797398.66,-1.972758762,43.3248184135
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 15, 02 - Iz",583318.03,4797366.6,-1.9723761607,43.3245262924
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 17, 01 - F",583328.9,4797355.58,-1.9722437868,43.3244258734
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 21, 06 - A",583368.44,4797320.35,-1.9717615382,43.3241043105
VUT_Favorable,Viviendas de uso turístico,"Bermingham 23, 01 - A",583374.88,4797313.86,-1.9716831076,43.3240451662
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 24, 02 - C",583411.65,4797250.03,-1.971239369,43.3234664188
VUT_Favorable,Viviendas de uso turístico,"Bermingham 31, 01 - A",583422.78,4797265.29,-1.9710997997,43.3236025718
VUT_Tramitacion,Viviendas de uso turístico,"Bermingham 31, 07 - B",583422.78,4797265.29,-1.9710997997,43.3236025718
VUT_Tramitacion,Viviendas de uso turístico,"Biteri,Pz de 2, En - B",583131.3,4797207.28,-1.9747030048,43.3231125804
VUT_Tramitacion,Viviendas de uso turístico,"Bizkaia,Ps de 16, 04 - B",582809.17,4795590.67,-1.9789191124,43.3085935268
VUT_Tramitacion,Viviendas de uso turístico,"Blas de Lezo 4, 04 - Iz",582233.54,4796432.89,-1.9858897566,43.3162393263
VUT_Tramitacion,Viviendas de uso turístico,"Blas de Lezo 4, Bh (6º)",582233.54,4796432.89,-1.9858897566,43.3162393263
VUT_Tramitacion,Viviendas de uso turístico,"Bordatxipi,Ps de 10 Edificio Entero",584318.31,4797169.18,-1.9600712605,43.322637401
VUT_Tramitacion,Viviendas de uso turístico,"Boulevard,Al del 3, 01 - A",582521.53,4797140.74,-1.9822324143,43.3225806738
VUT_Favorable,Viviendas de uso turístico,"Boulevard,Al del 7, 01 - C",582472.97,4797114.88,-1.9828351141,43.3223531794
VUT_Favorable,Viviendas de uso turístico,"Boulevard,Al del 9, 00 Principal C",582456.98,4797106.44,-1.9830335608,43.3222789463
VUT_Favorable,Viviendas de uso turístico,"Boulevard,Al del 10 1º D",582395.57,4797138.96,-1.9837859511,43.3225784603
VUT_Favorable,Viviendas de uso turístico,"Boulevard,Al del 11, 01 - Iz",582453.88,4797104.87,-1.9830720239,43.3222651512
VUT_Favorable,Viviendas de uso turístico,"Boulevard,Al del 18 Entlo. Dcha.",582330.03,4797128.04,-1.9845957922,43.3224873241
VUT_Favorable,Viviendas de uso turístico,"Boulevard,Al del 18 Entlo. Izda.",582330.03,4797128.04,-1.9845957922,43.3224873241
VUT_Favorable,Viviendas de uso turístico,"Boulevard,Al del 18 Entlo. Izda.",582330.03,4797128.04,-1.9845957922,43.3224873241
VUT_Favorable,Viviendas de uso turístico,"Boulevard,Al del 18, 01 - Dr",582330.03,4797128.04,-1.9845957922,43.3224873241
VUT_Tramitacion,Viviendas de uso turístico,"Boulevard,Al del 19, 01",582381.22,4797066.43,-1.9839737905,43.3219270331
VUT_Favorable,Viviendas de uso turístico,"Boulevard,Al del 23, 01 - A",582338.63,4797043.81,-1.9845023738,43.321728046
VUT_Tramitacion,Viviendas de uso turístico,"Boulevard,Al del 23, 04 - D",582338.63,4797043.81,-1.9845023738,43.321728046
VUT_Tramitacion,Viviendas de uso turístico,"Boulevard,Al del 23, 06 - B",582338.63,4797043.81,-1.9845023738,43.321728046
VUT_Favorable,Viviendas de uso turístico,"Boulevard,Al del 24, En - B Entresuelo B",582283.31,4797111.29,-1.9851744274,43.3223416347
VUT_Favorable,Viviendas de uso turístico,"Boulevard,Al del 26, En - Iz",582278.27,4797109.42,-1.985236858,43.3223253502
VUT_Tramitacion,Viviendas de uso turístico,"Buen Pastor,Pz del 6, 01 - Iz",582520.05,4796521.54,-1.9823437194,43.3170060781
VUT_Tramitacion,Viviendas de uso turístico,"Buen Pastor,Pz del 8 1º Derecha",582524.71,4796512.72,-1.9822875854,43.3169261589
VUT_Tramitacion,Viviendas de uso turístico,"Buen Pastor,Pz del 8 1º Izquierda",582524.71,4796512.72,-1.9822875854,43.3169261589
VUT_Tramitacion,Viviendas de uso turístico,"Buen Pastor,Pz del 8 2º Derecha",582524.71,4796512.72,-1.9822875854,43.3169261589
VUT_Tramitacion,Viviendas de uso turístico,"Buen Pastor,Pz del 18, 05 - Iz",582560.36,4796445.5,-1.9818581154,43.3163170537
VUT_Tramitacion,Viviendas de uso turístico,"Buen Pastor,Pz del 18, 05 - Iz",582560.36,4796445.5,-1.9818581154,43.3163170537
VUT_Tramitacion,Viviendas de uso turístico,Camino 4 5º Centro,582608.76,4796977.98,-1.9811812311,43.3211057427
VUT_Favorable,Viviendas de uso turístico,Campanario 5 Bajo Derecha,582148.91,4797187.97,-1.9868202962,43.3230466919
VUT_Favorable,Viviendas de uso turístico,Campanario 5 Bajo Izda.,582148.91,4797187.97,-1.9868202962,43.3230466919
VUT_Tramitacion,Viviendas de uso turístico,"Carlos I,Av de 3, 06 - A",582833.84,4795131.06,-1.9786842522,43.3044528627
VUT_Tramitacion,Viviendas de uso turístico,"Carlos I,Av de 7, 09 - A",582840.11,4795090.48,-1.9786130743,43.3040868235
VUT_Tramitacion,Viviendas de uso turístico,"Carlos I,Av de 11, 05 - B",582845.92,4795052.61,-1.9785471594,43.3037452336
VUT_Tramitacion,Viviendas de uso turístico,"Carlos I,Av de 26, 08 - D",582806.03,4795020.94,-1.9790436804,43.3034644936
VUT_Tramitacion,Viviendas de uso turístico,"Carlos I,Av de 36, 14 - C",582810.07,4794893.07,-1.9790131444,43.3023128124
VUT_Favorable,Viviendas de uso turístico,Carmelo Etxegarai 2 1ºd,580637.5,4795925.79,-2.0056437517,43.3118465896
VUT_Tramitacion,Viviendas de uso turístico,"Carmelo Etxegarai 8, 01 - Dr",580588.93,4795891.19,-2.0062476651,43.3115402823
VUT_Favorable,Viviendas de uso turístico,"Catalina de Erauso 3-Iz, 01 - C",582749.84,4795150.3,-1.9797168879,43.3046353262
VUT_Tramitacion,Viviendas de uso turístico,"Catalina de Erauso 7, 04 - A",582659.17,4795143.74,-1.9808356375,43.3045862312
VUT_Tramitacion,Viviendas de uso turístico,"Catalina de Erauso 15-Iz, En - A",582606.32,4795146.66,-1.9814867231,43.3046183243
VUT_Tramitacion,Viviendas de uso turístico,"Catalina de Erauso 22, 05 - D",582529.04,4795158.03,-1.9824377092,43.3047291705
VUT_Tramitacion,Viviendas de uso turístico,"Centenario,Pz del 5, 05",582681.11,4796073.47,-1.9804252503,43.3129543423
VUT_Tramitacion,Viviendas de uso turístico,"Centenario,Pz del 5, 07",582681.11,4796073.47,-1.9804252503,43.3129543423
VUT_Tramitacion,Viviendas de uso turístico,Cesar Chicote 14 Edificio Completo,583071.1,4793829.2,-1.9759561056,43.2927058297
VUT_Tramitacion,Viviendas de uso turístico,"Claudio A. Luzuriaga 1, 06 - C",583073.25,4797302.54,-1.9754044355,43.3239766345
VUT_Tramitacion,Viviendas de uso turístico,"Colon,Ps de 3Y Entresuelo Dcha",582908.74,4797089.47,-1.9774653018,43.3220764913
VUT_Tramitacion,Viviendas de uso turístico,"Colon,Ps de 7 Entreplanta- Local B",582913.14,4797126.59,-1.9774054382,43.3224102029
VUT_Tramitacion,Viviendas de uso turístico,"Colon,Ps de 9, 06 - A",582915.45,4797145.4,-1.9773741119,43.3225792973
VUT_Tramitacion,Viviendas de uso turístico,"Colon,Ps de 10, 03",582929.36,4797092.87,-1.9772105163,43.3221048283
VUT_Tramitacion,Viviendas de uso turístico,"Colon,Ps de 12, 02 - D",582958.43,4797193.43,-1.9768368497,43.323006978
VUT_Tramitacion,Viviendas de uso turístico,"Colon,Ps de 12, 06 - C",582958.43,4797193.43,-1.9768368497,43.323006978
VUT_Tramitacion,Viviendas de uso turístico,"Colon,Ps de 12, 07 - B",582958.43,4797193.43,-1.9768368497,43.323006978
VUT_Favorable,Viviendas de uso turístico,"Colon,Ps de 17 Entlo. Izda.",582952.69,4797227.35,-1.9769025074,43.3233129978
VUT_Tramitacion,Viviendas de uso turístico,"Colon,Ps de 21, 06 - Iz",582969.28,4797248.09,-1.9766947922,43.3234978926
VUT_Favorable,Viviendas de uso turístico,"Colon,Ps de 24, 01 - Dr",583037,4797282.38,-1.9758545091,43.3237991351
VUT_Tramitacion,Viviendas de uso turístico,"Colon,Ps de 24, 01 - Iz",583037,4797282.38,-1.9758545091,43.3237991351
VUT_Tramitacion,Viviendas de uso turístico,"Colon,Ps de 24, 08 - Dr",583037,4797282.38,-1.9758545091,43.3237991351
