estado,tipo,direcciÃ�,x,y,longitude,latitude
VUT_Favorable,Viviendas de uso turÃ­stico,"31 de Agosto    5,    01",582303.390000000013970,4797334.790000000037253,-1.98489330679516,43.3243516444157
VUT_Favorable,Viviendas de uso turÃ­stico,31 de Agosto    9  1Âº,582295.020000000018626,4797330.200000000186265,-1.98499721217302,43.324311235989
VUT_Favorable,Viviendas de uso turÃ­stico,31 de Agosto   10  1Âº D,582337.219999999972060,4797366.469999999739230,-1.98447136996162,43.3246331609394
VUT_Favorable,Viviendas de uso turÃ­stico,"31 de Agosto   10,    01 - Iz",582337.219999999972060,4797366.469999999739230,-1.98447136996162,43.3246331609394
VUT_Favorable,Viviendas de uso turÃ­stico,"31 de Agosto   20,    01 - A",582314.780000000027940,4797351.980000000447035,-1.98475026987879,43.3245051619917
VUT_Favorable,Viviendas de uso turÃ­stico,"31 de Agosto   26,    01",582292.920000000041910,4797338.349999999627471,-1.98502188725856,43.3243848415936
VUT_Favorable,Viviendas de uso turÃ­stico,"31 de Agosto   38,    01 - Cn",582237.359999999986030,4797307.330000000074506,-1.98571169031679,43.324111641911
VUT_Favorable,Viviendas de uso turÃ­stico,"31 de Agosto   38,    01 - Dr",582237.359999999986030,4797307.330000000074506,-1.98571169031679,43.324111641911
VUT_Favorable,Viviendas de uso turÃ­stico,"31 de Agosto   38,    01 - Iz",582237.359999999986030,4797307.330000000074506,-1.98571169031679,43.324111641911
VUT_Favorable,Viviendas de uso turÃ­stico,31 de Agosto   40  1Âº-Local 2,582233.180000000051223,4797305.299999999813735,-1.98576354119858,43.3240938226242
VUT_Favorable,Viviendas de uso turÃ­stico,"31 de Agosto   40,    01 - 001",582233.180000000051223,4797305.299999999813735,-1.98576354119858,43.3240938226242
VUT_Favorable,Viviendas de uso turÃ­stico,31 de Agosto   44  1Âº Izda.,582203.670000000041910,4797290.839999999850988,-1.98612961690228,43.3239668634872
VUT_Favorable,Viviendas de uso turÃ­stico,"Agirre Miramon    1-05,    07 - A",582848.589999999967404,4797143.950000000186265,-1.97819881024284,43.3225736119036
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Agirre Miramon    4,    04 - 3",582869.060000000055879,4797137.370000000111759,-1.97794737904275,43.3225121156855
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Agirre Miramon    7,    02 - Iz",582883.209999999962747,4797161.660000000149012,-1.97776922254872,43.3227292426192
VUT_Favorable,Viviendas de uso turÃ­stico,"Agirre Miramon    8,    06 - Dr",582889.050000000046566,4797147.639999999664724,-1.97769932350397,43.3226023748229
VUT_Favorable,Viviendas de uso turÃ­stico,"Aintzieta,Ps de   13,    01 - C  Arevalo",584141.160000000032596,4795173.969999999739230,-1.96256140227969,43.3046941367946
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Aintzieta,Ps de   13,    02 - D  Arevalo",584141.160000000032596,4795173.969999999739230,-1.96256140227969,43.3046941367946
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Aintzieta,Ps de   31,    01 - E  Ancieta Bat",584341.449999999953434,4795071.419999999925494,-1.96010801643741,43.3037484429032
VUT_Favorable,Viviendas de uso turÃ­stico,"Aizkorri   26,    01 - D  Ederrena",580812.119999999995343,4795924.860000000335276,-2.00349093565744,43.3118194783338
VUT_Favorable,Viviendas de uso turÃ­stico,Aizkorri   96  Atalaya  Bajo,580685.849999999976717,4795633.719999999739230,-2.00509052386843,43.3092118290205
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Alaiondo,Gr    5,    01 - A",583533.609999999986030,4796898.790000000037253,-1.96978884847033,43.3202906233419
VUT_Favorable,Viviendas de uso turÃ­stico,"Alcalde J.Elosegi,Av  109  1Âº C",585661.459999999962747,4796943.360000000335276,-1.94354367195131,43.3204525294785
VUT_Tramitacion,Viviendas de uso turÃ­stico,Aldakoenea   19  Virgen de la Estrella  Bajo,583344.719999999972060,4796935.440000000409782,-1.97211247730272,43.320641545396
VUT_Favorable,Viviendas de uso turÃ­stico,"Aldakoenea   20,    01 - Dr",583284.260000000009313,4796895.830000000074506,-1.9728640186986,43.3202916292917
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Aldakoenea   61,    01 - B  Latxaga",583588.849999999976717,4796817.200000000186265,-1.96912010800559,43.3195499205621
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Aldamar    1,    1Âº - Iz",582552.420000000041910,4797553.519999999552965,-1.98178942337743,43.3262936051577
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Aldamar    5,    03 - Iz",582398.140000000013970,4797436.360000000335276,-1.98370962201412,43.3252557184042
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Aldamar   12,    03 - Iz",582503.770000000018626,4797267.509999999776483,-1.98243237001609,43.3237239528442
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Aldamar   14,    04 - Iz",582502.500000000000000,4797269.870000000111759,-1.98244767658794,43.3237453396354
VUT_Favorable,Viviendas de uso turÃ­stico,"Aldamar   16,    01  Local 1",582496.229999999981374,4797281.809999999590218,-1.98252320203249,43.3238535252263
VUT_Favorable,Viviendas de uso turÃ­stico,"Aldamar   24,    01 - Dr",582471.270000000018626,4797329.190000000409782,-1.9828238837359,43.3242828327372
VUT_Favorable,Viviendas de uso turÃ­stico,"Aldamar   24,    06 - Iz",582471.270000000018626,4797329.190000000409782,-1.9828238837359,43.3242828327372
VUT_Favorable,Viviendas de uso turÃ­stico,"Aldamar   30,    06 - C",582447.540000000037253,4797374.540000000037253,-1.98310970629845,43.3246937281939
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Aldapeta,Cz de   58,    01 - B  Elda",581877.920000000041910,4796163.580000000074506,-1.99031476714512,43.3138534729787
VUT_Favorable,Viviendas de uso turÃ­stico,"Alfonso XIII,Pz de    2,    01 - Di  Alfonso XIII, 2-1 A",581022.800000000046566,4796210.009999999776483,-2.00085132821735,43.3143640859823
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Alfonso XIII,Pz de    2,    04 - Ii",581022.800000000046566,4796210.009999999776483,-2.00085132821735,43.3143640859823
VUT_Favorable,Viviendas de uso turÃ­stico,"Alkiza,Pz de    5,    00 - B",581863.229999999981374,4795384.500000000000000,-1.99061198421107,43.3068408585939
VUT_Favorable,Viviendas de uso turÃ­stico,Alto de Amara    3  Tavira  Entlo. A,582434.680000000051223,4796066.839999999850988,-1.98346460473449,43.3129216968545
VUT_Favorable,Viviendas de uso turÃ­stico,Alto de Zorroaga   92,583925.260000000009313,4794375.769999999552965,-1.96534484710069,43.2975319388355
VUT_Favorable,Viviendas de uso turÃ­stico,"Amara    5,    01 - Ext  1.Ext",582451.010000000009313,4796142.389999999664724,-1.98325192351768,43.3136000970358
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Amara    9,    01 - Dr",582442.869999999995343,4796121.610000000335276,-1.98335540568743,43.3134139032377
VUT_Favorable,Viviendas de uso turÃ­stico,"Amara   14,    01 - A",582431.160000000032596,4796152.599999999627471,-1.98349513455949,43.3136941949558
VUT_Favorable,Viviendas de uso turÃ­stico,"Amara   16,    03 - C",582419.880000000004657,4796160.509999999776483,-1.98363302616292,43.3137666460993
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Amara   16,    08 - A",582419.880000000004657,4796160.509999999776483,-1.98363302616292,43.3137666460993
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Amara   20,    01 - C",582380.660000000032596,4796165.530000000260770,-1.98411584300112,43.3138161383367
VUT_Favorable,Viviendas de uso turÃ­stico,Amara   24  1Âº C,582350.500000000000000,4796168.450000000186265,-1.98448726847777,43.3138457300579
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Amara   33,    Bh  Bajo A",582198.609999999986030,4796108.580000000074506,-1.98636898540407,43.3133233226684
VUT_Tramitacion,Viviendas de uso turÃ­stico,"AmetzagaÃ±a   16,    02 - Iz",583477.930000000051223,4796459.620000000111759,-1.97054219542816,43.3163429006841
VUT_Tramitacion,Viviendas de uso turÃ­stico,AmetzagaÃ±a   39.A  Bajo- Izquierda,583629.750000000000000,4796594.179999999701977,-1.96864974333585,43.3175374964761
VUT_Favorable,Viviendas de uso turÃ­stico,"Amezketa,Cl de los    4,    09 - D",582760.079999999958090,4795083.190000000409782,-1.97960075784106,43.3040299966753
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Amezketa,Cl de los    4,    Bh  (10)",582760.079999999958090,4795083.190000000409782,-1.97960075784106,43.3040299966753
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Amezketa,Cl de los   15,    07 - B",582649.719999999972060,4795024.360000000335276,-1.98097008956905,43.3035124691565
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Amezti   36,    01  Anatxu",578972.010000000009313,4796339.599999999627471,-2.026118784433,43.3157489276745
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Amezti   36,    02  Anatxu",578972.010000000009313,4796339.599999999627471,-2.026118784433,43.3157489276745
VUT_Tramitacion,Viviendas de uso turÃ­stico,Amezti   58  Villa Lamperna,578842.380000000004657,4796548.490000000223517,-2.02768716409478,43.3176432243424
VUT_Favorable,Viviendas de uso turÃ­stico,"Andia    5,    04 - Iz",582428.300000000046566,4796864.700000000186265,-1.98342351645364,43.3201056658471
VUT_Favorable,Viviendas de uso turÃ­stico,"Andia    7,    04 - B",582412.780000000027940,4796856.429999999701977,-1.98361613406878,43.3200329105731
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Andia    7,    04 - C",582412.780000000027940,4796856.429999999701977,-1.98361613406878,43.3200329105731
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Andrestegi    6,    01 - A",580119.780000000027940,4795666.969999999739230,-2.01206466735157,43.3095716841256
VUT_Favorable,Viviendas de uso turÃ­stico,"Angela Figuera,Pz    4,    03 - B",580703.030000000027940,4795047.070000000298023,-2.00496487790655,43.3039282321788
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Angela Figuera,Pz    5,    03 - A",580725.949999999953434,4795018.059999999590218,-2.0046865869965,43.303664589378
VUT_Tramitacion,Viviendas de uso turÃ­stico,"AÃ±orga,Av de    6,    06 - B",581491.300000000046566,4793726.799999999813735,-1.9954430126549,43.2919565783943
VUT_Tramitacion,Viviendas de uso turÃ­stico,"AÃ±orga,Av de   26,    01 - A",581353.359999999986030,4793524.750000000000000,-1.99717305755958,43.2901523917314
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Arrasate    1,    01  1Âºa",582745.619999999995343,4796745.650000000372529,-1.97952860202756,43.3189989935667
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Arrasate    1,    01  C",582745.619999999995343,4796745.650000000372529,-1.97952860202756,43.3189989935667
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Arrasate    1,    04 - Dr",582745.619999999995343,4796745.650000000372529,-1.97952860202756,43.3189989935667
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Arrasate    1,    04 - Iz",582745.619999999995343,4796745.650000000372529,-1.97952860202756,43.3189989935667
VUT_Tramitacion,Viviendas de uso turÃ­stico,"Arrasate    1,    05 - Dr  (5-Iz)",582745.619999999995343,4796745.650000000372529,-1.97952860202756,43.3189989935667
